#                     Fission barriers calculated with the ETFSI model 
#  Z   A El      cin      hin      ain      Bin     Bexp      cout     hout     aout     Bout    Bexp
#                                          [MeV]    [MeV]                               [MeV]    [MeV]
#-----------------------------------------------------------------------------------------------------
  81 226 Tl      1.26     0.02     0.00     4.10              1.98    -0.01     0.53    24.60         
  81 227 Tl      1.26     0.03     0.00     4.20              1.99     0.00     0.53    25.00         
  81 228 Tl      1.26     0.02     0.00     4.50              1.98    -0.01     0.53    24.60         
  81 229 Tl      1.27     0.02     0.00     4.40              1.98    -0.01     0.53    24.80         
  81 230 Tl      1.27     0.02     0.00     4.80              1.98     0.00     0.55    24.80         
  81 231 Tl      1.27     0.03     0.00     4.70              2.05    -0.02     0.53    26.10         
  81 232 Tl      1.29     0.05     0.00     5.30              2.06    -0.01     0.53    26.40         
  81 233 Tl      1.29     0.03     0.00     5.00              2.09    -0.06     0.50    27.30         
  81 234 Tl      1.29     0.04     0.00     5.80              2.10    -0.06     0.47    28.00         
  81 235 Tl      1.36    -0.03     0.00     4.50              2.11    -0.05     0.50    27.90         
  81 236 Tl                                                   2.11    -0.06     0.47    28.70         
  81 237 Tl                                                   2.12    -0.05     0.47    28.90         
  81 238 Tl                                                   2.16    -0.10     0.50    28.90         
  81 239 Tl                                                   2.13    -0.08     0.53    28.60         
  81 240 Tl                                                   2.12    -0.09     0.55    27.60         
  81 246 Tl      1.21    -0.03     0.00     4.40              2.18    -0.10     0.47    31.30         
  81 247 Tl      1.20    -0.02     0.00     5.20              2.18    -0.10     0.47    32.50         
  81 248 Tl      1.20    -0.03     0.00     5.80              2.18    -0.10     0.45    32.70         
  81 249 Tl      1.20    -0.02     0.00     6.40              2.18    -0.10     0.45    33.80         
  81 250 Tl      1.19     0.03     0.00     6.50              1.78     0.16     0.00    32.40         
  81 251 Tl      1.19     0.03     0.00     7.80              1.82     0.16     0.00    34.00         
  81 252 Tl      1.19     0.03     0.00     8.60              1.84     0.16     0.00    34.00         
  81 258 Tl      1.18     0.07     0.00    14.10              1.90     0.08     0.00    37.10         
  81 259 Tl      1.18     0.06     0.00    14.90              1.91     0.08     0.00    38.80         
  81 260 Tl      1.17     0.06     0.00    16.30              1.91     0.08     0.00    39.50         
  81 261 Tl      1.17     0.06     0.00    17.10              1.91     0.08     0.00    41.30         
  81 262 Tl      1.17     0.06     0.00    18.50              1.91     0.08     0.00    42.30         
  81 263 Tl      1.17     0.08     0.00    19.00              1.91     0.08     0.00    44.00         
  81 264 Tl      1.17     0.07     0.00    20.50              1.92     0.09     0.00    45.40         
  82 204 Pb      1.22    -0.04     0.00    15.70              2.13    -0.20     0.20    27.20    23.50
  82 205 Pb      1.21    -0.04     0.00    17.10              2.12    -0.19     0.15    28.40    24.60
  82 206 Pb      1.22    -0.05     0.00    17.80              2.12    -0.19     0.00    29.50    25.30
  82 207 Pb      1.22    -0.05     0.00    19.50              2.12    -0.19     0.00    31.10    27.00
  82 208 Pb      1.22    -0.05     0.00    19.70              2.30    -0.18     0.00    31.70    27.40
  82 223 Pb      1.25     0.00     0.00     4.70              1.90     0.07     0.60    22.00         
  82 224 Pb      1.25     0.01     0.00     4.80              1.91     0.07     0.60    23.00         
  82 225 Pb      1.25     0.01     0.00     3.60              1.91     0.07     0.60    21.50         
  82 226 Pb      1.26     0.02     0.00     3.90              1.93     0.07     0.60    23.00         
  82 227 Pb      1.26     0.01     0.00     4.10              1.98    -0.01     0.50    22.90         
  82 228 Pb      1.26     0.02     0.00     4.30              1.98    -0.01     0.53    22.90         
  82 229 Pb      1.27     0.03     0.00     4.80              1.98    -0.01     0.53    22.70         
  82 230 Pb      1.27     0.02     0.00     4.60              1.98     0.00     0.55    23.10         
  82 231 Pb      1.27     0.03     0.00     5.20              1.97    -0.01     0.53    22.70         
  82 232 Pb      1.28     0.03     0.00     5.00              1.99    -0.01     0.53    23.40         
  82 233 Pb      1.29     0.04     0.00     5.50              2.06    -0.01     0.53    24.60         
  82 234 Pb      1.30     0.05     0.00     5.10              2.09    -0.06     0.47    25.50         
  82 235 Pb      1.30     0.06     0.00     5.80              2.10    -0.06     0.50    25.60         
  82 236 Pb      1.31     0.06     0.00     5.20              2.11    -0.05     0.50    26.00         
  82 237 Pb      1.31     0.06     0.00     5.60              2.11    -0.06     0.47    26.60         
  82 238 Pb      1.37    -0.04     0.00     4.90              2.12    -0.05     0.47    27.00         
  82 239 Pb                                                   2.16    -0.10     0.50    26.80         
  82 240 Pb                                                   2.12    -0.09     0.53    25.90         
  82 241 Pb                                                   2.12    -0.09     0.55    25.70         
  82 242 Pb                                                   2.13    -0.08     0.53    26.70         
  82 246 Pb      1.21    -0.04     0.00     3.00              2.18    -0.10     0.47    28.10         
  82 247 Pb      1.20    -0.04     0.00     3.40              2.18    -0.10     0.47    28.10         
  82 248 Pb      1.20    -0.05     0.00     4.30              2.13    -0.09     0.47    28.00         
  82 249 Pb      1.20    -0.04     0.00     5.30              2.18    -0.10     0.45    30.10         
  82 250 Pb      1.20    -0.03     0.00     5.80              2.18    -0.10     0.45    31.20         
  82 251 Pb      1.19     0.01     0.00     6.00              1.81     0.16     0.00    30.50         
  82 252 Pb      1.19     0.03     0.00     7.30              1.83     0.16     0.00    32.10         
  82 253 Pb      1.18     0.03     0.00     8.20              1.83     0.16     0.00    32.30         
  82 254 Pb      1.18     0.03     0.00     9.20              1.83     0.15     0.00    33.30         
  82 258 Pb      1.18     0.05     0.00    13.00              1.90     0.08     0.00    35.10         
  82 259 Pb      1.18     0.07     0.00    14.10              1.90     0.07     0.00    35.60         
  82 260 Pb      1.17     0.07     0.00    15.10              1.91     0.07     0.00    37.00         
  82 261 Pb      1.17     0.05     0.00    16.30              1.91     0.08     0.00    37.80         
  82 262 Pb      1.17     0.07     0.00    17.00              1.91     0.08     0.00    39.50         
  82 263 Pb      1.17     0.07     0.00    18.50              1.92     0.08     0.00    40.70         
  82 264 Pb      1.17     0.07     0.00    18.90              1.92     0.07     0.00    42.00         
  82 265 Pb      1.21    -0.07     0.00    20.70              1.93     0.08     0.00    43.90         
  82 266 Pb      1.21    -0.09     0.00    21.20              1.99    -0.02     0.00    44.50         
  83 206 Bi      1.22    -0.04     0.15    16.20              2.12    -0.18     0.00    24.90    22.40
  83 207 Bi      1.22    -0.06     0.00    16.90              2.12    -0.18     0.00    26.10    22.80
  83 208 Bi      1.22    -0.06     0.00    18.60              2.12    -0.18     0.00    27.40    23.80
  83 209 Bi      1.23    -0.05     0.00    18.50              2.12    -0.18     0.00    28.00    24.30
  83 210 Bi      1.22    -0.06     0.00    18.50              2.12    -0.18     0.00    27.70    24.30
  83 223 Bi      1.24     0.00     0.00     5.20              2.29    -0.18     0.00    20.80         
