#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da     a-asym   -da    a_sys
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  78 195 Pt   .0  6.104    .82000E-01    .10000E-01   -.24140E+01   .2090 12.1393   .1823  12.117
  78 196 Pt   .5  7.922    .18000E-01    .30000E-02   -.31560E+01   .2591 11.3915   .2165  11.513
  78 197 Pt   .0  5.846    .35000E+00    .10000E+00   -.35460E+01   .5078 10.0825   .3680  10.957
  78 199 Pt   .0  5.556    .34000E+00    .90000E-01   -.46380E+01   .4764 10.3770   .3539   9.805
  79 198 Au  1.5  6.512    .15500E-01    .80000E-03   -.43920E+01   .0662  9.9847   .0619   9.990
  80 199 Hg   .0  6.664    .10500E+00    .35000E-01   -.49720E+01   .5501 10.1204   .3808   9.726
  80 200 Hg   .5  8.028    .80000E-01    .30000E-01   -.56530E+01   .5437  8.8354   .3532   9.200
  80 201 Hg   .0  6.230    .60000E+00    .15000E+00   -.62420E+01   .3475  8.2222   .2608   8.370
  80 202 Hg  1.5  7.754    .90000E-01    .30000E-01   -.69530E+01   .4328  8.0353   .2941   7.890
  81 204 Tl   .5  6.656    .47000E+00    .50000E-01   -.83840E+01   .0848  6.6951   .0763   6.840
  81 206 Tl   .5  6.503    .40000E+01    .40000E+00   -.10155E+02   .0646  5.2192   .0575   5.106
  82 205 Pb   .0  6.731    .21000E+01    .20000E+00   -.84600E+01   .0796  6.3869   .0708   6.791
  82 207 Pb   .0  6.737    .30000E+02    .60000E+01   -.10547E+02   .1300  4.5459   .1045   4.653
  82 208 Pb   .5  7.368    .30000E+02    .80000E+01   -.10998E+02   .1760  4.1868   .1330   4.064
  82 209 Pb   .0  3.936    .90000E+02    .15000E+02   -.96870E+01   .1521  4.4276   .1209   4.193
  83 210 Bi  4.5  4.604    .44500E+01    .40000E+00   -.86070E+01   .0628  4.6168   .0560   4.643
  90 229 Th   .0  5.254    .50000E-02    .30000E-02    .23790E+01  2.3465 23.4263  1.1659  22.174
  90 230 Th  2.5  6.794    .62000E-03    .12000E-03    .23200E+01   .4779 20.7758   .3880  22.071
  91 232 Pa  1.5  5.553    .51000E-03    .30000E-04    .20910E+01   .1294 20.5450   .1188  20.291
  91 233 Pa  2.0  6.526    .42000E-03    .80000E-04    .22660E+01   .4383 19.8869   .3530  20.582
  91 234 Pa  1.5  5.219    .78000E-03    .10000E-03    .21630E+01   .3055 21.0282   .2634  20.596
  92 233 U    .0  5.760    .46000E-02    .50000E-03    .16990E+01   .2576 20.8549   .2317  20.851
  92 234 U   2.5  6.843    .52000E-03    .20000E-04    .17440E+01   .0846 20.6823   .0849  20.970
  92 235 U    .0  5.298    .11200E-01    .80000E-03    .17680E+01   .1758 20.9428   .1639  21.172
  92 236 U   3.5  6.544    .45000E-03    .30000E-04    .18550E+01   .1577 21.8311   .1498  21.333
  92 237 U    .0  5.126    .14000E-01    .10000E-02    .18060E+01   .1789 21.2833   .1683  21.422
  92 238 U    .5  6.153    .35000E-02    .80000E-03    .20350E+01   .6252 21.9055   .4896  21.815
  93 237 Np  6.0  6.573    .60000E-03    .60000E-04    .16340E+01   .2031 17.3566   .1861  19.193
  93 238 Np  2.5  5.488    .57000E-03    .30000E-04    .14280E+01   .1113 19.5639   .1095  19.037
  93 239 Np  2.0  6.217    .41000E-03    .10000E-03    .17970E+01   .6045 20.9392   .4692  19.589
  94 239 Pu   .0  5.647    .83000E-02    .50000E-03    .11030E+01   .1348 19.7695   .1299  20.342
  94 240 Pu   .5  6.533    .22000E-02    .90000E-04    .13540E+01   .0918 20.8744   .0919  20.774
  94 241 Pu   .0  5.241    .13000E-01    .50000E-03    .13530E+01   .0967 20.6774   .0871  20.900
  94 242 Pu  2.5  6.309    .93000E-03    .80000E-04    .15790E+01   .2075 21.6046   .1962  21.286
  94 243 Pu   .0  5.034    .13500E-01    .15000E-02    .15460E+01   .2908 21.7439   .2613  21.373
  95 242 Am  2.5  5.537    .58000E-03    .40000E-04    .95100E+00   .1434 19.1881   .1369  19.125
  95 243 Am  5.0  6.367    .27000E-03    .30000E-04    .13230E+01   .2444 19.7275   .2165  19.685
  95 244 Am  2.5  5.363    .73000E-03    .60000E-04    .11600E+01   .1788 19.4652   .1685  19.566
  96 243 Cm   .0  5.693    .14000E-01    .30000E-02    .73000E+00   .5098 18.3170   .4083  19.096
  96 244 Cm  2.5  6.800    .69000E-03    .50000E-04    .86400E+00   .1560 19.8264   .1518  19.338
  96 245 Cm   .0  5.520    .11800E-01    .12000E-02    .74300E+00   .2377 19.3857   .2140  19.276
  96 246 Cm  3.5  6.457    .79000E-03    .50000E-04    .97200E+00   .1436 20.4621   .1393  19.658
  96 247 Cm   .0  5.156    .30000E-01    .50000E-02    .97900E+00   .4188 18.9755   .3507  19.777
  96 248 Cm  4.5  6.213    .12000E-02    .30000E-03    .12120E+01   .6684 20.3633   .5109  20.162
  97 250 Bk  3.5  4.968    .11000E-02    .10000E-03    .10430E+01   .2099 19.6448   .1923  19.641
  98 250 Cf  4.5  6.624    .76000E-03    .10000E-03    .38600E+00   .2999 19.2379   .2654  19.237
