#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da     a-asym   -da    a_sys
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  28  63 Ni   .0  6.837    .16000E+02    .30000E+01    .78300E+00   .1552  5.0027   .1262   5.212
  28  65 Ni   .0  6.098    .23600E+02    .30000E+01    .17360E+01   .1121  5.0728   .0952   5.863
  29  64 Cu  1.5  7.916    .70000E+00    .90000E-01    .41500E+00   .0977  5.3971   .0849   5.073
  29  66 Cu  1.5  7.065    .13000E+01    .11000E+00    .14600E+01   .0642  5.3210   .0572   5.686
  30  65 Zn   .0  7.979    .23000E+01    .30000E+00    .12690E+01   .1086  6.0525   .0942   5.364
  30  67 Zn   .0  7.052    .46200E+01    .55000E+00    .24340E+01   .1088  6.0367   .0946   6.099
  30  68 Zn  2.5 10.198    .37000E+00    .20000E-01    .24770E+01   .0417  6.0096   .0397   6.100
  30  69 Zn   .0  6.482    .55600E+01    .43000E+00    .31040E+01   .0797  6.2916   .0712   6.651
  30  71 Zn   .0  5.834    .65200E+01    .42000E+00    .36230E+01   .0805  6.8281   .0718   7.177
  31  70 Ga  1.5  7.655    .31600E+00    .41000E-01    .28400E+01   .1055  6.2598   .0923   6.155
  31  72 Ga  1.5  6.521    .38000E+00    .60000E-01    .37890E+01   .1532  6.7412   .1284   6.841
  32  71 Ge   .0  7.416    .11700E+01    .23000E+00    .37750E+01   .2200  7.2366   .1758   7.032
  32  73 Ge   .0  6.782    .15000E+01    .30000E+00    .41850E+01   .2571  7.5933   .2045   7.504
  32  74 Ge  4.5 10.196    .62000E-01    .15000E-01    .35800E+01   .2580  7.3452   .1954   7.085
  32  75 Ge   .0  6.505    .30000E+01    .10000E+01    .36960E+01   .4640  7.1265   .3137   7.470
  32  77 Ge   .0  6.072    .45000E+01    .10000E+01    .28060E+01   .2937  6.9965   .2271   7.210
  33  76 As  1.5  7.329    .90000E-01    .80000E-02    .40430E+01   .0859  7.6040   .0761   7.603
  34  75 Se   .0  8.027    .34000E+00    .80000E-01    .42360E+01   .2798  8.0880   .2143   7.741
