                                         16      0.389  2.692E-02  2.697E-02  1.679E-03
 22   1.189520   8.0 -1   1.60E-11  2 u                    (8-)  0
                                         19      0.472  7.609E-01  7.635E-01  3.484E-03
                                         17      0.530  2.359E-01  2.365E-01  2.442E-03
 23   1.320400   8.0 -1   3.50E-12  1 u                    (8-)  0
                                         17      0.661  9.987E-01  1.000E+00  1.291E-03
 24   1.345500   8.0  1   7.10E-11  1 u                    (8+)  0
                                         21      0.353  9.911E-01  1.000E+00  8.946E-03
 25   1.448900   9.0  1   5.90E-11  1 u                    (9+)  0
                                         24      0.103  9.049E-01  1.000E+00  1.051E-01
 26   1.614200   9.0 -1   4.20E-12  1 u                    (9-)  0
                                         20      0.654  9.987E-01  1.000E+00  1.326E-03
 27   1.722400  -1.0  0             1                            0
                                         21      0.730  1.000E+00  1.000E+00  0.000E+00
 28   1.990900  -1.0  0             1                            0
                                         24      0.645  1.000E+00  1.000E+00  0.000E+00
 29   2.084700  10.0 -1   1.40E-12  2 u                   (10-)  0
                                         23      0.764  3.331E-01  3.334E-01  8.730E-04
                                         22      0.895  6.662E-01  6.666E-01  5.854E-04
 30   2.188000  10.0  1   2.10E-12  2 u                   (10+)  0
                                         25      0.739  9.903E-02  9.911E-02  7.888E-04
                                         24      0.843  9.003E-01  9.009E-01  6.801E-04
 31   2.482700  11.0 -1             1 u                   (11-)  0
                                         26      0.868  9.994E-01  1.000E+00  6.310E-04
 32   2.500000  11.0  1             2 u                   (11+)  0
                                         30      0.312  2.588E-01  2.603E-01  5.826E-03
                                         25      1.051  7.394E-01  7.397E-01  3.618E-04
 33   3.081600  12.0 -1             1 u                   (12-)  0
                                         29      0.997  9.995E-01  1.000E+00  4.519E-04
 34   3.521100  13.0 -1             1 u                   (13-)  0
                                         31      1.038  9.996E-01  1.000E+00  3.719E-04
 35   3.633000  13.0  1   3.50E-13  1 u                   (13+)  0
                                         32      1.133  9.997E-01  1.000E+00  3.051E-04
 36   4.209100  14.0 -1             1 u                   (14-)  0
                                         33      1.128  9.997E-01  1.000E+00  3.084E-04
