155Ta  155   73    1    0    1    0    0.000000   -1.453000
                                          6      1.238  1.000E+00  1.000E+00  0.000E+00
 16   2.475700  13.5 -1  -1.00E+00  2   X               (27/2-)  0                                                                                                                                                                                                                              0.008000  1    
                                         13      0.291  1.914E-01  2.202E-01  1.500E-01
                                          9      0.704  7.720E-01  7.798E-01  1.020E-02
 17   2.502500  12.5  1  -1.00E+00  3   X               (25/2+)  0                                                                                                                                                                                                                              0.008000       
                                         14      0.252  3.872E-01  4.763E-01  2.300E-01
                                         12      0.422  2.865E-01  2.977E-01  3.900E-02
                                         11      0.500  2.207E-01  2.260E-01  2.400E-02
 18   2.536300  12.5  1  -1.00E+00  3   X               (25/2+)  0                                                                                                                                                                                                                              0.008000  2    
                                         14      0.285  1.410E-01  1.636E-01  1.600E-01
                                         12      0.455  1.578E-01  1.627E-01  3.100E-02
                                          9      0.764  6.715E-01  6.737E-01  3.300E-03
 19   2.545600  12.5  1  -1.00E+00  3   X               (25/2+)  0                                                                                                                                                                                                                              0.008000  3    
                                         17      0.044  0.000E+00  0.000E+00  8.000E+01
                                         14      0.294  3.991E-01  4.590E-01  1.500E-01
                                          9      0.774  5.393E-01  5.410E-01  3.200E-03
 20   2.660100  13.5  1  -1.00E+00  1   X               (27/2+)  0                                                                                                                                                                                                                              0.008000  4    
                                         19      0.115  2.857E-01  1.000E+00  2.500E+00
 21   2.749800  13.5  1  -1.00E+00  3   X               (27/2+)  0                                                                                                                                                                                                                              0.008000  2    
                                         18      0.213  1.858E-01  2.564E-01  3.800E-01
                                         14      0.499  2.809E-01  2.877E-01  2.400E-02
                                         13      0.565  4.531E-01  4.560E-01  6.300E-03
 22   2.768300  14.5 -1  -1.00E+00  2   X               (29/2-)  0                                                                                                                                                                                                                              0.008000  0    
                                         16      0.293  2.312E-01  2.659E-01  1.500E-01
                                         13      0.584  7.224E-01  7.341E-01  1.620E-02
 23   2.825400  14.5  1  -1.00E+00  4   X               (29/2+)  0                                                                                                                                                                                                                              0.008000  3    
                                         21      0.076  4.998E-02  5.798E-01  1.060E+01
                                         20      0.166  1.190E-01  2.142E-01  8.000E-01
                                         18      0.289  9.401E-02  1.053E-01  1.200E-01
                                         16      0.349  9.877E-02  1.007E-01  2.000E-02
 24   2.899900  14.5  1  -1.00E+00  1   X               (29/2+)  0                                                                                                                                                                                                                              0.008000  5    
                                         20      0.240  7.874E-01  1.000E+00  2.700E-01
 25   3.024700  15.5  1  -1.00E+00  2   X               (31/2+)  0                                                                                                                                                                                                                              0.008000  4    
                                         24      0.126  1.062E-02  3.080E-02  1.900E+00
                                         23      0.199  6.638E-01  9.692E-01  4.600E-01
 26   3.097800  15.5 -1  -1.00E+00  2   X               (31/2-)  0                                                                                                                                                                                                                              0.008000  1    
                                         22      0.330  2.929E-01  3.251E-01  1.100E-01
                                         16      0.622  6.657E-01  6.749E-01  1.380E-02
 27   3.177000  14.5 -1  -1.00E+00  0   X               (29/2-)  0                                                                                                                                                                                                                              0.008000  6    
 28   3.269200  15.5 -1  -1.00E+00  1   X               (31/2-)  0                                                                                                                                                                                                                              0.008000       
                                         16      0.794  9.923E-01  1.000E+00  7.800E-03
 29   3.351800  16.5  1  -1.00E+00  2   X               (33/2+)  0                                                                                                                                                                                                                              0.008000  3    
                                         25      0.327  6.882E-01  7.639E-01  1.100E-01
                                         23      0.526  2.312E-01  2.361E-01  2.100E-02
 30   3.451500  16.5 -1  -1.00E+00  2   X               (33/2-)  0                                                                                                                                                                                                                              0.008000  0    
                                         26      0.354  1.505E-01  1.640E-01  9.000E-02
                                         22      0.683  8.269E-01  8.360E-01  1.100E-02
