# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  26  57 Fe   .0  7.646    .25400E+02    .22000E+01   -.51400E+00   .0632  4.3003   .0577  4.0730  7.4700  30     .829   1.589   3.492    .068    .064   
  26  58 Fe   .5 10.044    .70500E+01    .70000E+00    .20200E+00   .0726  4.4994   .0654  4.4130  7.5500  30     .811   1.576   3.587    .104    .290   
  26  59 Fe   .0  6.581    .21600E+02    .26000E+01    .95000E+00   .0968  4.9190   .0849  4.8110  8.1300  30     .818   1.562   3.628    .197    .123   
  27  60 Co  3.5  7.492    .14500E+01    .15000E+00    .10400E+00   .0779  4.7251   .0698  4.5270  8.0100  30    1.078   1.549   4.359    .124    .252   
  28  59 Ni   .0  8.999    .13400E+02    .90000E+00   -.21720E+01   .0455  4.1733   .0423  3.6560  7.1400  30    1.394   1.562   3.994    .067    .850   
  28  60 Ni  1.5 11.388    .20000E+01    .70000E+00   -.14120E+01   .2843  4.3660   .1938  4.0070  7.4700  30    1.333   1.549   3.897    .256   1.089   
  28  61 Ni   .0  7.820    .13800E+02    .90000E+00   -.49200E+00   .0476  4.6778   .0444  4.3710  7.9100  30    1.253   1.536   4.151    .078    .819   
  28  62 Ni  1.5 10.596    .21000E+01    .15000E+00   -.76000E-01   .0513  4.6912   .0475  4.6100  8.0500  30    1.173   1.524   3.860    .061    .889   
  28  63 Ni   .0  6.838    .16000E+02    .30000E+01    .78300E+00   .1556  5.0222   .1270  5.0530  8.7100  30    1.260   1.512   4.800    .309    .707   
  28  65 Ni   .0  6.098    .23600E+02    .30000E+01    .17360E+01   .1118  5.0947   .0965  5.6780  9.1400  30    1.384   1.488   6.055    .387    .695   
