                                          5      0.599  1.512E-01  1.513E-01  6.951E-04
                                          3      1.276  3.687E-01  3.687E-01  8.533E-05
                                          2      2.179  3.392E-01  3.392E-01  3.015E-05
                                          1      2.416  5.899E-02  5.899E-02  2.547E-05
 13   2.450000   0.5 -1             0 c               1/2-,3/2-  0
 14   2.665000   1.5 -1             0 c               1/2-,3/2-  0
 15   2.701600   1.5 -1   5.00E-13  7 u                  3/2(-)  0
                                         11      0.392  3.772E-01  3.775E-01  1.015E-03
                                         10      0.426  4.149E-02  4.151E-02  5.349E-04
                                          8      0.562  4.149E-02  4.151E-02  4.556E-04
                                          7      0.743  2.829E-01  2.829E-01  2.508E-04
                                          6      0.877  6.789E-02  6.790E-02  1.781E-04
                                          5      0.885  1.886E-01  1.886E-01  1.749E-04
                                          3      1.562  0.000E+00  0.000E+00  1.868E-04
 16   2.841400   0.5 -1   2.70E-13  3 u                    1/2-  0
                                          7      0.882  7.142E-01  7.143E-01  1.760E-04
                                          6      1.016  2.428E-01  2.428E-01  1.325E-04
                                          5      1.024  4.285E-02  4.286E-02  1.305E-04
 17   2.893000   2.5 -1             5 u                  5/2(-)  0
                                          6      1.068  3.214E-02  3.214E-02  1.202E-04
                                          5      1.076  2.000E-01  2.000E-01  1.185E-04
                                          3      1.753  3.464E-01  3.464E-01  5.194E-05
                                          2      2.656  6.428E-02  6.428E-02  2.189E-05
                                          1      2.892  3.571E-01  3.571E-01  1.915E-05
 18   2.914000   1.5 -1   2.10E-14  1 u                    3/2-  0
                                          1      2.913  1.000E+00  1.000E+00  1.894E-05
 19   2.956900   6.5 -1             2 u                 (13/2-)  0
                                          4      1.469  5.405E-01  5.405E-01  6.569E-05
                                          3      1.817  4.594E-01  4.595E-01  4.852E-05
 20   2.983500   2.5  1             2 u                    5/2+  0
                                          2      2.747  6.896E-01  6.897E-01  1.383E-05
                                          1      2.983  3.103E-01  3.103E-01  1.423E-05
 21   3.029000   3.5  1             2 u                   (7/2)  0
                                          2      2.792  6.289E-01  6.289E-01  1.350E-05
                                          1      3.028  3.711E-01  3.711E-01  1.214E-05
 22   3.048600   1.5 -1             5 u                  (3/2-)  0
                                         10      0.773  0.000E+00  0.000E+00  1.273E-04
                                          9      0.793  0.000E+00  0.000E+00  2.189E-04
                                          5      1.232  2.615E-01  2.615E-01  9.120E-05
                                          3      1.909  2.798E-01  2.798E-01  1.143E-04
                                          2      2.812  4.587E-01  4.587E-01  2.071E-05
 23   3.058100   3.5 -1             1 c             (5/2-,7/2-)  0
                                          1      3.057  1.000E+00  1.000E+00  1.757E-05
 24   3.091500   0.5 -1             0 c               1/2-,3/2-  0
 25   3.130500   1.5 -1             6 c           3/2(-),5/2(+)  0
