  93 233  84   -1766.618
     0.280     0.000     0.183     0.000
     0.309     0.000     0.205     0.546
     0.337     0.000     0.208     1.390
     0.366     0.000     0.203     2.306
     0.394     0.000     0.198     3.024
     0.423     0.000     0.180     3.672
     0.453     0.000     0.140     4.051
     0.484     0.000     0.116     4.258
     0.515     0.000     0.138     4.222
     0.546     0.000     0.142     4.096
     0.577     0.000     0.157     3.689
     0.609     0.000     0.170     3.415
     0.640     0.000     0.224     2.956
     0.671     0.000     0.240     2.651
     0.701     0.000     0.282     2.447
     0.732     0.000     0.323     2.350
     0.763     0.000     0.384     2.140
     0.895    -0.119     0.649     2.268
     0.926    -0.142     0.700     2.515
     0.958    -0.234     0.830     3.609
     0.987    -0.262     1.016     5.818
     1.018    -0.280     1.074     5.841
     1.048    -0.309     1.142     6.045
     1.073    -0.338     1.198     6.320
     1.094    -0.361     1.249     6.409
     1.115    -0.381     1.293     6.445
     1.134    -0.400     1.333     6.437
     1.151    -0.422     1.360     6.316
     1.168    -0.442     1.383     6.230
     1.184    -0.459     1.404     6.150
     1.200    -0.477     1.422     6.065
     1.218    -0.492     1.441     5.696
     1.237    -0.506     1.447     5.463
     1.260    -0.527     1.470     5.404
     1.282    -0.563     1.506     5.625
     1.303    -0.550     1.520     5.123
     1.323    -0.557     1.535     4.821
     1.339    -0.566     1.557     4.714
     1.355    -0.574     1.580     4.546
     1.370    -0.592     1.605     4.593
     1.390    -0.596     1.636     4.367
     1.410    -0.611     1.672     4.337
     1.439    -0.630     1.731     4.172
     1.466    -0.651     1.795     4.009
     1.494    -0.669     1.853     3.854
     1.521    -0.687     1.910     3.801
     1.546    -0.705     1.962     3.737
     1.577    -0.722     2.031     3.583
     1.609    -0.740     2.102     3.452
     1.640    -0.756     2.171     3.422
     1.673    -0.777     2.259     3.329
     1.703    -0.787     2.323     3.182
     1.736    -0.794     2.394     3.012
     1.770    -0.803     2.473     2.839
     1.876    -0.849     2.716     2.538
     1.912    -0.871     2.785     2.223
     1.947    -0.896     2.857     2.099
     1.981    -0.917     2.940     1.938
     2.015    -0.937     3.031     1.857
     2.053    -0.958     3.149     1.734
     2.089    -0.980     3.268     1.757
     2.125    -0.998     3.365     1.632
     2.162    -1.015     3.460     1.522
     2.198    -1.033     3.556     1.362
     2.233    -1.049     3.648     1.234
     2.270    -1.068     3.750     1.120
     2.307    -1.086     3.851     1.073
     2.343    -1.104     3.949     0.951
     2.375    -1.120     4.040     0.931
     2.405    -1.136     4.123     0.840
     2.437    -1.151     4.211     0.670
     2.466    -1.165     4.291     0.631
     2.495    -1.179     4.371     0.622
     2.525    -1.191     4.464     0.572
     2.555    -1.200     4.565     0.512
     2.587    -1.211     4.678     0.419
     2.617    -1.221     4.784     0.447
     2.645    -1.229     4.885     0.423
     2.671    -1.237     4.980     0.337
     2.695    -1.270     5.089     0.401
     2.717    -1.282     5.175     0.334
     2.743    -1.294     5.279     0.389
     2.769    -1.306     5.379     0.434
     2.785    -1.339     5.362     0.000
  93 234  76   -1772.494
     0.303     0.000     0.190     0.000
     0.331     0.000     0.195     0.579
     0.359     0.000     0.186     1.387
     0.388     0.000     0.201     2.327
     0.416     0.000     0.196     2.994
     0.446     0.000     0.157     3.629
     0.476     0.000     0.151     4.073
     0.506     0.000     0.150     4.086
     0.537     0.000     0.159     4.040
     0.568     0.000     0.182     3.904
     0.600     0.000     0.200     3.295
     0.632     0.000     0.204     3.015
     0.664     0.000     0.234     2.487
     0.695     0.000     0.270     2.217
     0.725     0.000     0.290     2.143
     0.756     0.000     0.383     1.760
     0.786     0.000     0.409     1.657
     0.817     0.000     0.464     1.603
     0.847     0.000     0.579     1.188
     0.878     0.000     0.646     0.992
     0.906     0.000     0.673     1.080
     0.935     0.000     0.712     1.415
     0.964     0.000     0.789     1.755
     0.990     0.000     0.836     2.191
     1.014     0.000     0.908     2.803
     1.041     0.000     0.918     3.168
     1.066     0.000     0.967     3.585
     1.107    -0.198     1.033     4.258
     1.133    -0.337     1.164     4.590
     1.155    -0.354     1.194     4.711
     1.185    -0.371     1.254     4.427
     1.207    -0.387     1.287     4.364
     1.235    -0.405     1.327     4.343
     1.263    -0.421     1.361     4.330
     1.290    -0.436     1.396     4.444
     1.318    -0.454     1.441     4.185
     1.342    -0.468     1.470     4.080
     1.365    -0.482     1.500     4.002
     1.387    -0.495     1.531     3.861
     1.406    -0.503     1.557     3.852
     1.428    -0.514     1.605     3.870
     1.456    -0.525     1.662     3.857
     1.484    -0.530     1.732     3.399
     1.512    -0.547     1.797     3.392
     1.543    -0.572     1.872     3.274
     1.572    -0.592     1.933     3.207
     1.600    -0.608     1.989     3.144
     1.633    -0.735     2.154     3.021
     1.665    -0.753     2.229     2.978
     1.697    -0.767     2.292     2.836
     1.730    -0.781     2.354     2.721
     1.764    -0.798     2.423     2.521
     1.797    -0.815     2.495     2.353
     1.899    -0.882     2.705     2.034
     1.933    -0.903     2.785     1.872
     1.966    -0.922     2.866     1.726
     1.998    -0.941     2.945     1.612
     2.030    -0.961     3.041     1.457
     2.063    -0.980     3.125     1.384
     2.097    -0.997     3.229     1.211
     2.128    -1.013     3.320     1.152
     2.158    -1.028     3.415     1.029
     2.189    -1.031     3.516     0.932
     2.223    -1.050     3.609     0.846
     2.256    -1.074     3.696     0.685
     2.285    -1.084     3.777     0.664
     2.315    -1.100     3.856     0.620
     2.342    -1.114     3.927     0.552
     2.367    -1.126     3.991     0.502
     2.391    -1.141     4.046     0.449
     2.420    -1.148     4.110     0.328
     2.447    -1.147     4.172     0.374
     2.477    -1.165     4.261     0.376
     2.506    -1.184     4.383     0.178
     2.532    -1.200     4.477     0.141
     2.588    -1.228     4.675     0.000
  93 235  86   -1780.016
     0.271     0.000     0.175     0.000
     0.300     0.000     0.187     0.326
     0.328     0.000     0.202     1.121
     0.355     0.000     0.205     2.111
     0.384     0.000     0.199     2.964
     0.413     0.000     0.210     3.955
     0.442     0.000     0.212     4.755
     0.471     0.000     0.152     5.077
     0.502     0.000     0.133     5.168
     0.532     0.000     0.136     5.108
     0.564     0.000     0.155     4.872
     0.596     0.000     0.194     4.578
     0.629     0.000     0.199     4.057
     0.661     0.000     0.211     3.615
     0.692     0.000     0.266     3.258
     0.724     0.000     0.319     2.961
     0.756     0.000     0.419     2.623
     0.789     0.000     0.475     2.135
     0.821     0.000     0.519     1.819
     0.852     0.000     0.587     1.645
     0.881     0.000     0.631     1.566
     0.909     0.000     0.675     1.724
     0.936     0.000     0.722     2.111
     0.962     0.000     0.789     2.493
     0.991     0.000     0.834     2.839
     1.017     0.000     0.886     3.355
     1.040     0.000     0.962     3.723
     1.075    -0.172     1.010     4.565
     1.097    -0.180     1.062     4.858
     1.125    -0.331     1.197     5.270
     1.149    -0.346     1.238     5.394
     1.174    -0.365     1.273     5.285
     1.198    -0.388     1.307     5.275
     1.226    -0.410     1.346     5.311
     1.254    -0.430     1.379     5.262
     1.281    -0.448     1.407     5.205
     1.308    -0.459     1.440     5.039
     1.332    -0.468     1.468     4.969
     1.356    -0.478     1.506     4.716
     1.379    -0.488     1.542     4.608
     1.398    -0.493     1.568     4.450
     1.417    -0.502     1.606     4.371
     1.437    -0.511     1.644     4.297
     1.459    -0.518     1.683     4.373
     1.485    -0.532     1.742     4.309
     1.518    -0.663     1.853     4.235
     1.548    -0.683     1.918     4.016
     1.577    -0.701     1.996     3.860
     1.606    -0.718     2.076     3.772
     1.638    -0.738     2.168     3.724
     1.670    -0.753     2.261     3.650
     1.703    -0.768     2.319     3.469
     1.738    -0.786     2.377     3.313
     1.771    -0.806     2.431     3.225
     1.808    -0.826     2.504     3.010
     1.844    -0.847     2.590     2.848
     1.879    -0.867     2.672     2.725
     1.915    -0.889     2.755     2.666
     1.951    -0.912     2.846     2.529
     1.986    -0.933     2.938     2.339
     2.020    -0.954     3.025     2.203
     2.054    -0.976     3.108     2.139
     2.089    -0.997     3.212     1.893
     2.121    -1.014     3.305     1.827
     2.154    -1.033     3.413     1.669
     2.187    -1.051     3.519     1.597
     2.219    -1.068     3.612     1.466
     2.250    -1.085     3.695     1.344
     2.277    -1.100     3.768     1.301
     2.303    -1.114     3.838     1.239
     2.331    -1.129     3.914     1.117
     2.357    -1.141     4.002     1.026
     2.384    -1.154     4.092     1.010
     2.408    -1.166     4.173     0.986
     2.433    -1.177     4.259     0.887
     2.463    -1.190     4.360     0.837
     2.493    -1.203     4.440     0.707
     2.520    -1.213     4.508     0.612
     2.544    -1.223     4.576     0.554
     2.572    -1.232     4.646     0.546
     2.597    -1.239     4.719     0.531
     2.620    -1.249     4.805     0.470
     2.641    -1.255     4.882     0.507
     2.661    -1.281     4.971     0.445
     2.689    -1.295     5.078     0.413
    10.009     9.999     9.999     0.000
  93 236  88   -1785.893
     0.290     0.000     0.160     0.000
     0.318     0.000     0.196     0.523
     0.342     0.000     0.210     1.306
     0.370     0.000     0.196     2.076
