#
#  Z   A           Ex     J  P L       beta  Reference                       A Z
#                [MeV]
#-------------------------------------------------------------------------------
  20  48 Ca   9.290001  2.0  1 2   0.023099  ENSDF(BE2)                     48Ca
  21  43 Sc   3.123200  5.5  1 2  -0.266653  ENSDF(Q)                       43Sc
  21  44 Sc   0.067868  1.0 -1 2   0.178906  ENSDF(Q)                       44Sc
  21  44 Sc   0.270950  6.0  1 2   0.188562  ENSDF(Q)                       44Sc
  22  42 Ti   1.555000  2.0  1 2   0.309515  Raman                          42Ti
  22  43 Ti   3.066000  0.0  1 2   0.028988  ENSDF(Q)                       43Ti
  22  44 Ti   1.083180  2.0  1 2   0.262019  Raman                          44Ti
  22  46 Ti   0.889200  2.0  1 2   0.317439  Raman                          46Ti
  22  46 Ti   0.889286  2.0  1 2   0.230262  ENSDF(Q)                       46Ti
  22  46 Ti   0.889286  2.0  1 2   0.308972  ENSDF(BE2)                     46Ti
  22  46 Ti   3.058000  3.0 -1 3   0.141709  Spear                          46Ti
  22  48 Ti   0.983400  2.0  1 2   0.268622  Raman                          48Ti
  22  48 Ti   0.983519  2.0  1 2   0.189833  ENSDF(Q)                       48Ti
  22  48 Ti   3.062000  2.0  1 2   0.033503  ENSDF(BE2)                     48Ti
  22  48 Ti   3.359000  3.0 -1 3   0.187896  Spear                          48Ti
  22  48 Ti   5.313000  2.0  1 2   0.040541  ENSDF(BE2)                     48Ti
  22  48 Ti   5.571000  2.0  1 2   0.030529  ENSDF(BE2)                     48Ti
  22  48 Ti   5.619540  2.0  1 2   0.043407  ENSDF(BE2)                     48Ti
  22  48 Ti   5.764000  2.0  1 2   0.017626  ENSDF(BE2)                     48Ti
  22  48 Ti   5.916201  2.0  1 2   0.019515  ENSDF(BE2)                     48Ti
  22  48 Ti   5.996000  2.0  1 2   0.022608  ENSDF(BE2)                     48Ti
  22  48 Ti   6.246000  3.0 -1 3   0.135805  ENSDF(BE3)                     48Ti
  22  48 Ti   7.358920  2.0  1 2   0.029187  ENSDF(BE2)                     48Ti
  22  50 Ti   1.553700  2.0  1 2   0.165904  Raman                          50Ti
  22  50 Ti   1.553778  2.0  1 2   0.021435  ENSDF(Q)                       50Ti
  22  50 Ti   1.553778  2.0  1 2  -0.087251  ENSDF(Q)                       50Ti
  22  50 Ti   4.410000  3.0 -1 3   0.137797  Spear                          50Ti
  23  48 V    0.308270  2.0  1 2   0.438551  ENSDF(Q)                       48V 
  23  50 V    0.226200  5.0  1 2   0.101226  ENSDF(BE2)                     50V 
  23  51 V    0.320083  2.5 -1 2   0.105659  ENSDF(BE2)                     51V 
  23  51 V    0.928660  1.5 -1 2   0.052023  ENSDF(BE2)                     51V 
  23  51 V    0.928660  1.5 -1 2   0.061002  ENSDF(BE2)                     51V 
  23  51 V    0.928700  1.5 -1 2   0.250000  JENDL-3.2                      51V 
  23  51 V    1.608900  5.5 -1 2   0.250000  JENDL-3.2                      51V 
  23  51 V    1.813100  4.5 -1 2   0.250000  JENDL-3.2                      51V 
  23  51 V    1.813240  4.5 -1 2   0.058163  ENSDF(BE2)                     51V 
  23  51 V    3.780000  3.5  1 3   0.150000  JENDL-3.2                      51V 
  23  51 V    3.830000  5.5 -1 2   0.150000  JENDL-3.2                      51V 
  23  51 V    3.880000  4.5 -1 2   0.150000  JENDL-3.2                      51V 
  24  48 Cr   0.752300  2.0  1 2   0.334667  Raman                          48Cr
  24  50 Cr   0.783300  2.0  1 2   0.275000  JENDL-3.2                      50Cr
  24  50 Cr   0.783300  2.0  1 2   0.293481  Raman                          50Cr
  24  50 Cr   0.783300  2.0  1 2   0.336743  ENSDF(Q)                       50Cr
  24  50 Cr   1.881300  4.0  1 2   0.070000  JENDL-3.2                      50Cr
  24  50 Cr   2.924500  2.0  1 2   0.070000  JENDL-3.2                      50Cr
  24  50 Cr   3.161100  2.0  1 2   0.070000  JENDL-3.2                      50Cr
  24  52 Cr   1.434060  2.0  1 2   0.223504  Raman                          52Cr
  24  52 Cr   1.434100  2.0  1 2   0.200000  JENDL-3.2                      52Cr
  24  52 Cr   2.369600  4.0  1 2   0.077000  JENDL-3.2                      52Cr
  24  52 Cr   2.767700  4.0  1 2   0.077000  JENDL-3.2                      52Cr
  24  52 Cr   2.964800  2.0  1 2   0.075000  JENDL-3.2                      52Cr
  24  52 Cr   3.113800  6.0  1 2   0.075000  JENDL-3.2                      52Cr
  24  52 Cr   3.161700  2.0  1 2   0.069000  JENDL-3.2                      52Cr
  24  52 Cr   3.161740  2.0  1 2   0.030635  ENSDF(BE2)                     52Cr
  24  52 Cr   3.771720  2.0  1 2   0.086563  ENSDF(BE2)                     52Cr
  24  52 Cr   4.563000  3.0 -1 3   0.156839  Spear                          52Cr
  24  52 Cr   4.563000  3.0 -1 3   0.135000  JENDL-3.2                      52Cr
  24  52 Cr   4.563000  3.0 -1 3   0.157798  ENSDF(BE3)                     52Cr
  24  52 Cr   6.580000  3.0 -1 3   0.091105  ENSDF(BE3)                     52Cr
  24  52 Cr   7.100000  3.0 -1 2   0.046035  ENSDF(BE2)                     52Cr
  24  52 Cr   7.900001  3.0  1 3   0.102780  ENSDF(BE3)                     52Cr
  24  52 Cr   8.600000  3.0 -1 3   0.091105  ENSDF(BE3)                     52Cr
  24  53 Cr   0.564100  0.5 -1 2   0.100000  JENDL-3.2                      53Cr
  24  53 Cr   1.006500  2.5 -1 2   0.160000  JENDL-3.2                      53Cr
  24  53 Cr   1.289600  3.5 -1 2   0.300000  JENDL-3.2                      53Cr
  24  53 Cr   1.536700  3.5 -1 2   0.094000  JENDL-3.2                      53Cr
  24  53 Cr   1.973600  2.5 -1 2   0.220000  JENDL-3.2                      53Cr
  24  54 Cr   0.834800  2.0  1 2   0.224000  JENDL-3.2                      54Cr
  24  54 Cr   0.834830  2.0  1 2   0.250233  Raman                          54Cr
  24  54 Cr   1.823900  4.0  1 2   0.063000  JENDL-3.2                      54Cr
  24  54 Cr   2.619600  2.0  1 2   0.063000  JENDL-3.2                      54Cr
  24  54 Cr   3.073900  2.0  1 2   0.063000  JENDL-3.2                      54Cr
  24  54 Cr   3.159300  4.0  1 2   0.063000  JENDL-3.2                      54Cr
  25  55 Mn   0.125900  3.5 -1 2   0.300000  JENDL-3.2                      55Mn
  25  55 Mn   0.984300  4.5 -1 2   0.220000  JENDL-3.2                      55Mn
  25  55 Mn   1.884000  3.5 -1 2   0.160000  JENDL-3.2                      55Mn
  25  55 Mn   2.252400  1.5 -1 2   0.120000  JENDL-3.2                      55Mn
  25  55 Mn   2.365800  2.5 -1 2   0.120000  JENDL-3.2                      55Mn
  25  55 Mn   2.398400  4.5 -1 2   0.070000  JENDL-3.2                      55Mn
  25  55 Mn   2.563000  1.5 -1 2   0.070000  JENDL-3.2                      55Mn
  25  55 Mn   2.822000  4.5 -1 2   0.070000  JENDL-3.2                      55Mn
  25  55 Mn   3.050830  2.5  1 3   0.131928  ENSDF(BE3)                     55Mn
  25  55 Mn   3.268000  2.5 -1 2   0.090000  JENDL-3.2                      55Mn
  25  55 Mn   3.432000  0.5 -1 2   0.070000  JENDL-3.2                      55Mn
  25  55 Mn   3.661000  2.5 -1 2   0.110000  JENDL-3.2                      55Mn
  25  55 Mn   3.772000  2.5 -1 2   0.110000  JENDL-3.2                      55Mn
  25  55 Mn   4.113000  2.5  1 3   0.140000  JENDL-3.2                      55Mn
  25  55 Mn   4.234000  5.5  1 3   0.240000  JENDL-3.2                      55Mn
  26  54 Fe   1.407700  2.0  1 2   0.194993  Raman                          54Fe
  26  54 Fe   1.408190  2.0  1 2   0.198577  ENSDF(BE2)                     54Fe
  26  54 Fe   1.408200  2.0  1 2   0.180000  JENDL-3.2                      54Fe
  26  54 Fe   2.538100  4.0  1 2   0.050000  JENDL-3.2                      54Fe
  26  54 Fe   2.949100  6.0  1 2   0.020000  JENDL-3.2                      54Fe
  26  54 Fe   2.959100  6.0  1 2   0.098000  JENDL-3.2                      54Fe
  26  54 Fe   3.166000  2.0  1 2   0.052000  JENDL-3.2                      54Fe
  26  54 Fe   3.295100  4.0  1 2   0.033000  JENDL-3.2                      54Fe
  26  54 Fe   3.833200  4.0  1 2   0.052000  JENDL-3.2                      54Fe
  26  54 Fe   4.047700  4.0  1 2   0.024000  JENDL-3.2                      54Fe
  26  54 Fe   4.267800  4.0  1 2   0.045000  JENDL-3.2                      54Fe
  26  54 Fe   4.578500  2.0  1 2   0.026000  JENDL-3.2                      54Fe
  26  54 Fe   4.782000  3.0 -1 3   0.114396  Spear                          54Fe
  26  56 Fe   0.846400  2.0  1 2   0.170000  JENDL-3.2                      56Fe
  26  56 Fe   0.846760  2.0  1 2   0.239280  Raman                          56Fe
  26  56 Fe   0.846776  2.0  1 2   0.156398  ENSDF(Q)                       56Fe
  26  56 Fe   0.846776  2.0  1 2   0.188383  ENSDF(Q)                       56Fe
  26  56 Fe   2.085100  4.0  1 2   0.022000  JENDL-3.2                      56Fe
  26  56 Fe   2.657500  2.0  1 2   0.045000  JENDL-3.2                      56Fe
  26  56 Fe   2.959900  2.0  1 2   0.015000  JENDL-3.2                      56Fe
  26  56 Fe   3.122900  4.0  1 2   0.065000  JENDL-3.2                      56Fe
  26  56 Fe   3.369700  2.0  1 2   0.045000  JENDL-3.2                      56Fe
  26  56 Fe   3.388500  6.0  1 2   0.028000  JENDL-3.2                      56Fe
  26  56 Fe   3.601800  2.0  1 2   0.038000  JENDL-3.2                      56Fe
  26  56 Fe   3.755000  6.0  1 2   0.030000  JENDL-3.2                      56Fe
  26  56 Fe   3.832000  2.0  1 2   0.023000  JENDL-3.2                      56Fe
  26  56 Fe   4.120000  3.0  1 2   0.034000  JENDL-3.2                      56Fe
  26  56 Fe   4.298000  4.0  1 2   0.030000  JENDL-3.2                      56Fe
  26  56 Fe   4.401000  2.0  1 2   0.038000  JENDL-3.2                      56Fe
  26  56 Fe   4.510000  3.0 -1 3   0.075000  JENDL-3.2                      56Fe
  26  56 Fe   4.510000  3.0 -1 3   0.214505  Spear                          56Fe
  26  56 Fe   4.612000  4.0  1 2   0.041000  JENDL-3.2                      56Fe
  26  56 Fe   4.740000  2.0  1 2   0.038000  JENDL-3.2                      56Fe
  26  56 Fe   4.880000  2.0  1 2   0.038000  JENDL-3.2                      56Fe
  26  57 Fe   0.014413  1.5 -1 2  -0.133073  ENSDF(Q)                       57Fe
  26  57 Fe   0.706400  2.5 -1 2   0.170000  JENDL-3.2                      57Fe
  26  57 Fe   1.007100  3.5 -1 2   0.170000  JENDL-3.2                      57Fe
  26  57 Fe   1.197800  4.5 -1 2   0.170000  JENDL-3.2                      57Fe
  26  58 Fe   0.810760  2.0  1 2   0.258657  Raman                          58Fe
  26  58 Fe   0.810784  2.0  1 2   0.215138  ENSDF(Q)                       58Fe
  26  58 Fe   0.810800  2.0  1 2   0.260000  JENDL-3.2                      58Fe
  26  58 Fe   3.845000  3.0 -1 3   0.171631  Spear                          58Fe
  26  58 Fe   3.860800  3.0 -1 3   0.189518  ENSDF(BE3)                     58Fe
  26  60 Fe   0.823600  2.0  1 2   0.222618  Raman                          60Fe
  27  59 Co   1.099300  1.5 -1 2   0.140000  JENDL-3.2                      59Co
  27  59 Co   1.190500  4.5 -1 2   0.200000  JENDL-3.2                      59Co
  27  59 Co   1.292000  1.5 -1 2   0.320000  JENDL-3.2                      59Co
  27  59 Co   1.459500  5.5 -1 2   0.100000  JENDL-3.2                      59Co
  27  59 Co   1.482000  2.5 -1 2   0.290000  JENDL-3.2                      59Co
  27  59 Co   1.745000  3.5 -1 2   0.250000  JENDL-3.2                      59Co
  27  59 Co   2.063000  3.5 -1 2   0.110000  JENDL-3.2                      59Co
  27  59 Co   2.088000  2.5 -1 2   0.063000  JENDL-3.2                      59Co
  27  59 Co   2.205000  2.5 -1 2   0.056000  JENDL-3.2                      59Co
  27  60 Co   0.614500  3.0  1 2   0.130000  JENDL-3.2                      60Co
  27  60 Co   0.785700  4.0  1 2   0.130000  JENDL-3.2                      60Co
  27  60 Co   1.005800  4.0  1 2   0.130000  JENDL-3.2                      60Co
  28  58 Ni   1.454000  2.0  1 2   0.180000  JENDL-3.2                      58Ni
  28  58 Ni   1.454000  2.0  1 2   0.075621  ENSDF(Q)                       58Ni
  28  58 Ni   1.454450  2.0  1 2   0.182786  Raman                          58Ni
  28  58 Ni   2.459100  4.0  1 2   0.085000  JENDL-3.2                      58Ni
  28  58 Ni   3.037600  2.0  1 2   0.050000  JENDL-3.2                      58Ni
  28  58 Ni   3.524000  4.0  1 2   0.085000  JENDL-3.2                      58Ni
  28  58 Ni   3.900000  2.0  1 2   0.085000  JENDL-3.2                      58Ni
  28  58 Ni   4.475000  3.0 -1 3   0.120000  JENDL-3.2                      58Ni
  28  58 Ni   4.475000  3.0 -1 3   0.194618  Spear                          58Ni
  28  60 Ni   1.332500  2.0  1 2   0.180000  JENDL-3.2                      60Ni
  28  60 Ni   1.332518  2.0  1 2  -0.022529  ENSDF(Q)                       60Ni
  28  60 Ni   1.332520  2.0  1 2   0.207050  Raman                          60Ni
  28  60 Ni   2.505800  4.0  1 2   0.085000  JENDL-3.2                      60Ni
  28  60 Ni   3.124000  2.0  1 2   0.050000  JENDL-3.2                      60Ni
  28  60 Ni   3.395500  2.0  1 2   0.050000  JENDL-3.2                      60Ni
