#  Fit of EGSM a-parameter to experimental Do
#  Clasic vibr enhan., RIPL-3 Do & Shell corr.
#  Z  A  Sym  J   Qn         Dobs          dDobs        Shell         Def          Dcalc        +da_exp  a_exp -da_exp  a_sys    a_exp/a_sys
#------------------------------------------------------------------------------------------------------------------------------------------
  20  43 Ca   .0  7.933    .20000E+02    .50000E+01    .30350E+01    .00000E+00    .20001E+02     .2071  4.3561   .1586   4.124   1.056
  20  44 Ca  3.5 11.131    .18000E+01    .30000E+00    .31340E+01    .00000E+00    .18000E+01     .1342  4.5982   .1124   4.168   1.103
  20  45 Ca   .0  7.415    .24100E+02    .32000E+01    .29300E+01    .00000E+00    .24101E+02     .1039  4.4394   .0903   4.307   1.031
  21  46 Sc  3.5  8.761    .13000E+01    .10000E+00    .24170E+01   -.80000E-02    .13001E+01     .0540  4.3235   .0497   4.091   1.057
  22  47 Ti   .0  8.880    .25000E+02    .40000E+01    .17320E+01    .00000E+00    .25002E+02     .1152  3.8696   .0969   4.036    .959
  22  48 Ti  2.5 11.627    .17500E+01    .25000E+00    .16040E+01    .00000E+00    .17501E+01     .1043  4.3283   .0894   4.053   1.068
  22  49 Ti   .0  8.142    .20800E+02    .25000E+01    .11220E+01    .00000E+00    .20801E+02     .0891  4.2343   .0785   4.029   1.051
  22  50 Ti  3.5 10.939    .40000E+01    .80000E+00    .35800E+00    .00000E+00    .40001E+01     .1504  3.8991   .1211   3.850   1.013
  22  51 Ti   .0  6.372    .24900E+02    .16000E+01    .45200E+00    .00000E+00    .24901E+02     .0499  4.7245   .0465   3.984   1.186
  23  51 V   6.0 11.051    .20000E+01    .10000E+00    .21200E+00    .00000E+00    .20002E+01     .0337  3.9523   .0318   3.875   1.020
  23  52 V   3.5  7.311    .40000E+01    .60000E+00    .18300E+00    .00000E+00    .40003E+01     .1113  3.9881   .0947   3.949   1.010
  24  51 Cr   .0  9.261    .12500E+02    .12000E+01   -.11800E+00    .10700E+00    .12501E+02     .0665  4.1650   .0599   3.779   1.102
  24  53 Cr   .0  7.939    .32000E+02    .35000E+01   -.29900E+00    .00000E+00    .32002E+02     .0787  3.9774   .0701   3.862   1.030
  24  54 Cr  1.5  9.719    .67000E+01    .60000E+00    .46600E+00    .18000E+00    .67002E+01     .0655  4.2166   .0595   4.204   1.003
  24  55 Cr   .0  6.246    .50000E+02    .80000E+01    .11410E+01    .18900E+00    .50003E+02     .1280  4.3782   .1077   4.574    .957
  25  56 Mn  2.5  7.270    .23000E+01    .40000E+00    .10900E+00    .20800E+00    .23002E+01     .1340  4.5028   .1114   4.227   1.065
  26  55 Fe   .0  9.298    .20500E+02    .14000E+01   -.20400E+01    .00000E+00    .20500E+02     .0439  3.7675   .0407   3.456   1.090
  26  57 Fe   .0  7.646    .25400E+02    .22000E+01   -.51400E+00    .18900E+00    .25401E+02     .0632  4.3003   .0577   4.073   1.056
  26  58 Fe   .5 10.044    .70500E+01    .70000E+00    .20200E+00    .19900E+00    .70503E+01     .0726  4.4994   .0654   4.413   1.020
  26  59 Fe   .0  6.581    .21600E+02    .26000E+01    .95000E+00    .21900E+00    .21601E+02     .0968  4.9190   .0849   4.811   1.023
  27  60 Co  3.5  7.492    .14500E+01    .15000E+00    .10400E+00    .16300E+00    .14500E+01     .0779  4.7251   .0698   4.527   1.044
  28  59 Ni   .0  8.999    .13400E+02    .90000E+00   -.21720E+01    .00000E+00    .13401E+02     .0455  4.1733   .0423   3.656   1.142
  28  60 Ni  1.5 11.388    .20000E+01    .70000E+00   -.14120E+01    .27000E-01    .20000E+01     .2843  4.3660   .1938   4.007   1.090
  28  61 Ni   .0  7.820    .13800E+02    .90000E+00   -.49200E+00   -.13000E+00    .13800E+02     .0476  4.6778   .0444   4.371   1.070
  28  62 Ni  1.5 10.596    .21000E+01    .15000E+00   -.76000E-01   -.96000E-01    .21002E+01     .0513  4.6912   .0475   4.610   1.018
  28  63 Ni   .0  6.838    .16000E+02    .30000E+01    .78300E+00   -.12200E+00    .16000E+02     .1556  5.0222   .1270   5.053    .994
  28  65 Ni   .0  6.098    .23600E+02    .30000E+01    .17360E+01   -.79000E-01    .23600E+02     .1118  5.0947   .0965   5.678    .897
  29  64 Cu  1.5  7.916    .70000E+00    .90000E-01    .41500E+00    .15300E+00    .69996E+00     .0983  5.4196   .0860   4.945   1.096
  29  66 Cu  1.5  7.067    .13000E+01    .11000E+00    .14600E+01   -.15600E+00    .13000E+01     .0641  5.3530   .0587   5.538    .967
  30  65 Zn   .0  7.979    .23000E+01    .30000E+00    .12690E+01   -.26400E+00    .23000E+01     .1089  6.0712   .0946   5.394   1.126
  30  67 Zn   .0  7.052    .46200E+01    .55000E+00    .24340E+01   -.18200E+00    .46201E+01     .1092  6.0571   .0954   6.127    .989
  30  68 Zn  2.5 10.198    .37000E+00    .20000E-01    .24770E+01   -.15600E+00    .37000E+00     .0424  6.0796   .0401   6.130    .992
  30  69 Zn   .0  6.482    .55600E+01    .43000E+00    .31040E+01   -.16400E+00    .55602E+01     .0796  6.3141   .0726   6.678    .946
  30  71 Zn   .0  5.834    .65200E+01    .42000E+00    .36230E+01    .53000E-01    .65204E+01     .0796  6.8558   .0738   7.203    .952
  31  70 Ga  1.5  7.654    .31600E+00    .41000E-01    .28400E+01   -.20700E+00    .31597E+00     .1056  6.2911   .0921   6.443    .976
  31  72 Ga  1.5  6.520    .38000E+00    .60000E-01    .37890E+01   -.21500E+00    .37998E+00     .1530  6.7757   .1281   7.159    .947
  32  71 Ge   .0  7.416    .11700E+01    .23000E+00    .37750E+01   -.21500E+00    .11700E+01     .2207  7.2557   .1765   7.109   1.021
  32  73 Ge   .0  6.782    .15000E+01    .30000E+00    .41850E+01   -.22400E+00    .15000E+01     .2581  7.6164   .2058   7.584   1.004
  32  74 Ge  4.5 10.196    .62000E-01    .15000E-01    .35800E+01   -.22400E+00    .62001E-01     .2551  7.5161   .1943   7.165   1.049
  32  75 Ge   .0  6.505    .30000E+01    .10000E+01    .36960E+01    .89000E-01    .30002E+01     .4654  7.1476   .3155   7.550    .947
  32  77 Ge   .0  6.072    .45000E+01    .10000E+01    .28060E+01    .15300E+00    .45002E+01     .2951  7.0184   .2285   7.291    .963
  33  76 As  1.5  7.328    .90000E-01    .80000E-02    .40430E+01   -.25800E+00    .89991E-01     .0847  7.6328   .0770   7.585   1.006
  34  75 Se   .0  8.028    .34000E+00    .80000E-01    .42360E+01   -.24100E+00    .34000E+00     .2805  8.1055   .2152   7.657   1.059
  34  77 Se   .0  7.419    .65000E+00    .10000E+00    .41500E+01   -.25800E+00    .64997E+00     .1843  7.9595   .1552   7.880   1.010
  34  78 Se   .5 10.498    .12000E+00    .15000E-01    .35080E+01    .14300E+00    .12001E+00     .1166  7.7143   .1014   7.473   1.032
  34  79 Se   .0  6.963    .15000E+01    .30000E+00    .35080E+01    .15300E+00    .15001E+01     .2477  7.5163   .1972   7.777    .966
  34  81 Se   .0  6.701    .24000E+01    .80000E+00    .21510E+01    .16300E+00    .24001E+01     .4367  7.0806   .2956   7.232    .979
  34  83 Se   .0  5.818    .50000E+01    .25000E+01    .85400E+00    .89000E-01    .50003E+01     .8247  6.8858   .4477   6.703   1.027
  35  80 Br  1.5  7.892    .47000E-01    .50000E-02    .36930E+01    .10700E+00    .47004E-01     .1006  7.9534   .0892   7.740   1.028
  35  82 Br  1.5  7.593    .10000E+00    .15000E-01    .22790E+01    .14400E+00    .10001E+00     .1377  7.3765   .1165   7.247   1.018
  36  79 Kr   .0  8.334    .25000E+00    .80000E-01    .40620E+01   -.24900E+00    .25000E+00     .3948  8.1800   .2740   7.922   1.033
  36  81 Kr   .0  7.873    .28000E+00    .80000E-01    .36570E+01    .71000E-01    .28002E+00     .3727  8.5115   .2698   7.950   1.071
  36  84 Kr  4.5 10.521    .20000E+00    .10000E+00    .14000E+01    .62000E-01    .20000E+00     .5293  6.2181   .3003   6.966    .893
  36  85 Kr   .0  7.121    .40000E+01    .40000E+00    .82900E+00    .62000E-01    .40001E+01     .0894  6.1925   .0797   6.813    .909
  36  87 Kr   .0  5.515    .29000E+02    .15000E+01   -.10600E+00    .62000E-01    .29001E+02     .0475  5.2313   .0445   6.445    .812
  37  86 Rb  2.5  8.650    .17200E+00    .80000E-02    .16100E+00    .62000E-01    .17199E+00     .0339  6.1307   .0325   6.511    .942
  37  88 Rb  1.5  6.082    .16300E+01    .15000E+00   -.39200E+00    .62000E-01    .16300E+01     .0729  5.6826   .0660   6.369    .892
  38  85 Sr   .0  8.530    .32000E+00    .12000E+00    .22030E+01    .53000E-01    .32002E+00     .4360  7.7212   .2830   7.489   1.031
  38  87 Sr   .0  8.424    .26000E+01    .80000E+00    .18200E+00    .53000E-01    .26000E+01     .2708  5.9423   .1937   6.603    .900
  38  88 Sr  4.5 11.112    .29000E+00    .80000E-01   -.13690E+01    .45000E-01    .29000E+00     .2274  5.5243   .1702   5.929    .932
  38  89 Sr   .0  6.359    .23700E+02    .29000E+01   -.87400E+00    .53000E-01    .23700E+02     .0970  5.0056   .0845   6.149    .814
  39  90 Y    .5  6.857    .37000E+01    .40000E+00   -.11630E+01    .53000E-01    .36998E+01     .0795  5.2519   .0710   6.113    .859
  40  91 Zr   .0  7.195    .60000E+01    .14000E+01   -.10460E+01    .53000E-01    .60000E+01     .2035  5.7295   .1569   6.216    .922
  40  92 Zr  2.5  8.635    .55000E+00    .10000E+00    .11500E+00    .53000E-01    .55000E+00     .1690  6.3290   .1374   6.949    .911
  40  93 Zr   .0  6.735    .35000E+01    .80000E+00    .53400E+00    .53000E-01    .35001E+01     .2486  6.5478   .1905   7.278    .900
  40  94 Zr  2.5  8.221    .30200E+00    .75000E-01    .14120E+01    .62000E-01    .30199E+00     .3034  7.2882   .2277   7.882    .925
  40  95 Zr   .0  6.462    .40000E+01    .80000E+00    .14470E+01    .18000E+00    .40002E+01     .2360  6.7632   .1868   8.011    .844
  40  97 Zr   .0  5.575    .13000E+02    .30000E+01    .23310E+01    .27300E+00    .13000E+02     .3175  6.4318   .2422   8.821    .729
