#  Fit of EGSM a-parameter to experimental Do
#  Clasic vibr enhan., RIPL-3 Do & Shell corr.
#  Z  A  Sym  J   Qn         Dobs          dDobs        Shell         Def          Dcalc        +da_exp  a_exp -da_exp  a_sys    a_exp/a_sys
#------------------------------------------------------------------------------------------------------------------------------------------
  67 166 Ho  3.5  6.243    .42000E-02    .50000E-03    .81900E+00    .29300E+00    .41998E-02     .1944 12.5606   .1714  13.184    .953
  68 163 Er   .0  6.903    .69000E-02    .12000E-02    .24410E+01    .27200E+00    .68997E-02     .3369 15.9799   .2804  14.491   1.103
  68 165 Er   .0  6.650    .21000E-01    .40000E-02    .18520E+01    .28200E+00    .21001E-01     .3636 14.5142   .2969  14.118   1.028
  68 167 Er   .0  6.436    .38000E-01    .30000E-02    .10920E+01    .29400E+00    .37999E-01     .1394 13.7955   .1285  13.555   1.018
  68 168 Er  3.5  7.771    .42000E-02    .30000E-03    .96800E+00    .29400E+00    .41999E-02     .1201 13.2935   .1115  13.495    .985
  68 169 Er   .0  6.003    .10000E+00    .10000E-01    .73500E+00    .30400E+00    .99997E-01     .1815 13.0927   .1633  13.377    .979
  68 171 Er   .0  5.682    .14700E+00    .20000E-01    .50300E+00    .30500E+00    .14699E+00     .2605 13.1619   .2256  13.307    .989
  69 170 Tm   .5  6.592    .85000E-02    .70000E-03    .66600E+00    .29500E+00    .85002E-02     .1278 12.7125   .1171  13.342    .953
  69 171 Tm  1.0  7.486    .39000E-02    .10000E-02    .73900E+00    .29600E+00    .38999E-02     .4548 13.3657   .3457  13.489    .991
  70 169 Yb   .0  6.867    .80000E-02    .30000E-02    .16670E+01    .29400E+00    .79995E-02     .8235 15.6075   .5475  14.252   1.095
  70 170 Yb  3.5  8.470    .16000E-02    .40000E-03    .13960E+01    .29500E+00    .16000E-02     .4470 13.4677   .3422  14.028    .960
  70 171 Yb   .0  6.614    .35000E-01    .60000E-02    .11080E+01    .29500E+00    .34997E-01     .3130 13.5511   .2609  13.881    .976
  70 172 Yb   .5  8.020    .69000E-02    .50000E-03    .91600E+00    .29600E+00    .69002E-02     .1208 13.9323   .1120  13.750   1.013
  70 173 Yb   .0  6.367    .76000E-01    .50000E-02    .52200E+00    .29700E+00    .76001E-01     .1115 12.6655   .1039  13.464    .941
  70 174 Yb  2.5  7.464    .75000E-02    .50000E-03    .52700E+00    .28700E+00    .74999E-02     .1139 13.2456   .1063  13.542    .978
  70 175 Yb   .0  5.822    .19200E+00    .18000E-01    .33400E+00    .28700E+00    .19200E+00     .1680 12.3170   .1520  13.437    .917
  70 177 Yb   .0  5.566    .24000E+00    .20000E-01    .31600E+00    .27900E+00    .24000E+00     .1539 12.5622   .1407  13.575    .925
  71 176 Lu  3.5  6.289    .34500E-02    .15000E-03    .47400E+00    .27800E+00    .34499E-02     .0684 12.7584   .0654  13.629    .936
  71 177 Lu  7.0  7.073    .16100E-02    .16000E-03    .78900E+00    .27800E+00    .16098E-02     .1737 13.8929   .1567  14.020    .991
  72 175 Hf   .0  6.709    .18000E-01    .50000E-02    .13110E+01    .28600E+00    .18001E-01     .5581 14.5308   .4142  14.398   1.009
  72 177 Hf   .0  6.383    .30000E-01    .70000E-02    .93400E+00    .27700E+00    .30000E-01     .4641 14.3455   .3619  14.193   1.011
  72 178 Hf  3.5  7.626    .24000E-02    .30000E-03    .95700E+00    .27800E+00    .24001E-02     .2288 14.5337   .2005  14.280   1.018
  72 179 Hf   .0  6.099    .57000E-01    .60000E-02    .68500E+00    .27800E+00    .57000E-01     .1956 13.8766   .1750  14.103    .984
  72 180 Hf  4.5  7.388    .46000E-02    .30000E-03    .60200E+00    .27900E+00    .46000E-02     .1149 13.6466   .1074  14.083    .969
  72 181 Hf   .0  5.695    .94000E-01    .15000E-01    .40500E+00    .27900E+00    .93994E-01     .3186 13.9679   .2691  13.973   1.000
  73 181 Ta  9.0  7.577    .12000E-02    .20000E-03    .52500E+00    .26900E+00    .11999E-02     .2925 14.9989   .2456  14.056   1.067
  73 182 Ta  3.5  6.063    .42000E-02    .30000E-03    .22500E+00    .25900E+00    .41999E-02     .1171 12.8855   .1087  13.844    .931
  73 183 Ta  3.0  6.934    .35000E-02    .70000E-03    .52000E+00    .26000E+00    .35001E-02     .3625 13.4682   .2929  14.220    .947
  74 181 W    .0  6.681    .20000E-01    .70000E-02    .65300E+00    .25800E+00    .20001E-01     .7324 14.2347   .5006  14.208   1.002
  74 183 W    .0  6.191    .60000E-01    .60000E-02    .24300E+00    .25000E+00    .60000E-01     .1804 13.4252   .1623  13.946    .963
  74 184 W    .5  7.412    .12000E-01    .10000E-02    .31300E+00    .24000E+00    .11999E-01     .1480 14.2079   .1359  14.091   1.008
  74 185 W    .0  5.734    .75000E-01    .70000E-02    .25400E+00    .24100E+00    .75003E-01     .1800 14.2301   .1630  14.115   1.008
  74 187 W    .0  5.467    .99000E-01    .80000E-02    .12100E+00    .22100E+00    .98998E-01     .1598 14.4331   .1468  14.124   1.022
  75 186 Re  2.5  6.179    .31000E-02    .30000E-03    .41000E-01    .22100E+00    .31000E-02     .1619 13.4523   .1463  13.958    .964
  75 188 Re  2.5  5.872    .39000E-02    .30000E-03   -.15500E+00    .21200E+00    .38998E-02     .1316 13.7117   .1216  13.904    .986
  76 187 Os   .0  6.290    .29000E-01    .20000E-02    .17800E+00    .21200E+00    .28999E-01     .1249 14.4225   .1163  14.180   1.017
  76 188 Os   .5  7.990    .51000E-02    .20000E-03   -.15800E+00    .19200E+00    .51001E-02     .0644 14.1247   .0617  13.904   1.016
  76 189 Os   .0  5.920    .47000E-01    .40000E-02   -.19400E+00    .18300E+00    .47000E-01     .1606 14.4052   .1468  13.930   1.034
  76 190 Os  1.5  7.792    .34000E-02    .40000E-03   -.66200E+00    .16400E+00    .34001E-02     .2034 13.9719   .1796  13.528   1.033
  76 191 Os   .0  5.759    .70000E-01    .40000E-01   -.84800E+00    .16400E+00    .70002E-01    1.5488 13.8862   .7979  13.360   1.039
  76 193 Os   .0  5.583    .11500E+00    .60000E-01   -.17200E+01    .15500E+00    .11499E+00    1.3236 13.1569   .7298  12.534   1.050
  77 192 Ir  1.5  6.198    .25000E-02    .30000E-03   -.97500E+00    .14500E+00    .25001E-02     .2054 14.0616   .1807  13.352   1.053
  77 193 Ir  4.0  7.772    .50000E-03    .20000E-03   -.14790E+01    .13600E+00    .50001E-03     .7800 13.8989   .5027  12.948   1.073
  77 194 Ir  1.5  6.067    .58000E-02    .50000E-03   -.20310E+01    .13600E+00    .57996E-02     .1381 12.7232   .1262  12.389   1.027
  78 193 Pt   .0  6.256    .31400E-01    .13000E-02   -.11920E+01   -.15600E+00    .31400E-01     .0716 13.7674   .0685  13.154   1.047
  78 195 Pt   .0  6.105    .82000E-01    .10000E-01   -.24140E+01   -.14800E+00    .81995E-01     .2092 12.1524   .1839  11.966   1.016
  78 196 Pt   .5  7.922    .18000E-01    .30000E-02   -.31560E+01   -.13900E+00    .17999E-01     .2591 11.4017   .2167  11.378   1.002
  78 197 Pt   .0  5.846    .35000E+00    .10000E+00   -.35460E+01   -.14800E+00    .35003E+00     .5072 10.1009   .3706  10.839    .932
  78 199 Pt   .0  5.556    .34000E+00    .90000E-01   -.46380E+01   -.11300E+00    .34003E+00     .4763 10.4023   .3567   9.719   1.070
  79 198 Au  1.5  6.512    .15500E-01    .80000E-03   -.43920E+01   -.13100E+00    .15500E-01     .0663  9.9990   .0627  10.298    .971
  80 199 Hg   .0  6.664    .10500E+00    .35000E-01   -.49720E+01   -.12200E+00    .10500E+00     .5526 10.1393   .3815   9.619   1.054
  80 200 Hg   .5  8.028    .80000E-01    .30000E-01   -.56530E+01   -.11300E+00    .80000E-01     .5458  8.8483   .3536   9.106    .972
  80 201 Hg   .0  6.230    .60000E+00    .15000E+00   -.62420E+01   -.10500E+00    .60002E+00     .3494  8.2422   .2625   8.303    .993
  80 202 Hg  1.5  7.754    .90000E-01    .30000E-01   -.69530E+01   -.87000E-01    .90000E-01     .4348  8.0529   .2944   7.833   1.028
  81 204 Tl   .5  6.656    .47000E+00    .50000E-01   -.83840E+01   -.44000E-01    .47003E+00     .0856  6.7042   .0759   6.716    .998
  81 206 Tl   .5  6.503    .40000E+01    .40000E+00   -.10155E+02   -.18000E-01    .40001E+01     .0643  5.2262   .0579   5.045   1.036
