# Level density parameters for EGSM & Gilbert and Cameron models (2I4,1x,a2,1x,f3.1,1x,F7.3,3E14.5,5f8.4)
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C 
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#--------------------------------------------------------------------------------------------------------
  30  69 Zn  .0   6.482    .55600E+01    .43000E+00    .31040E+01   .0797  6.2916   .0712  6.6510 10.3500
  30  71 Zn  .0   5.834    .65200E+01    .42000E+00    .36230E+01   .0805  6.8281   .0718  7.1770 11.7300
  31  70 Ga 1.0   7.655    .31600E+00    .41000E-01    .28400E+01   .1055  6.2598   .0923  6.1550 10.3400
  31  72 Ga 1.0   6.521    .38000E+00    .60000E-01    .37890E+01   .1532  6.7412   .1284  6.8410 11.1300
  32  71 Ge  .0   7.416    .11700E+01    .23000E+00    .37750E+01   .2200  7.2366   .1758  7.0320 11.0600
  32  73 Ge  .0   6.782    .15000E+01    .30000E+00    .41850E+01   .2571  7.5933   .2045  7.5040 11.8900
  32  74 Ge 4.0  10.196    .62000E-01    .15000E-01    .35800E+01   .2580  7.3452   .1954  7.0850 11.2600
  32  75 Ge  .0   6.505    .30000E+01    .10000E+01    .36960E+01   .4640  7.1265   .3137  7.4700 11.6100
  32  77 Ge  .0   6.072    .45000E+01    .10000E+01    .28060E+01   .2937  6.9965   .2271  7.2100 11.4100
  33  76 As 1.0   7.329    .90000E-01    .80000E-02    .40430E+01   .0859  7.6040   .0761  7.6030 11.9500
  34  75 Se  .0   8.027    .34000E+00    .80000E-01    .42360E+01   .2798  8.0880   .2143  7.7410 12.3700
  34  77 Se  .0   7.418    .65000E+00    .10000E+00    .41500E+01   .1831  7.9447   .1555  7.9670 12.4600
  34  78 Se  .0  10.498    .12000E+00    .15000E-01    .35080E+01   .1160  7.7090   .1023  7.5490 11.7600
  34  79 Se  .0   6.962    .15000E+01    .30000E+00    .35080E+01   .2479  7.4994   .1959  7.8610 12.1000
  34  81 Se  .0   6.701    .24000E+01    .80000E+00    .21510E+01   .4345  7.0629   .2937  7.3030 11.6200
  34  83 Se  .0   5.818    .50000E+01    .25000E+01    .85400E+00   .8226  6.8636   .4449  6.7630 11.9700
  35  80 Br 1.0   7.892    .47000E-01    .50000E-02    .36930E+01   .1011  7.9348   .0903  7.9030 12.1000
