      1    0         0         0         0         0 
   1001    0         0         0         0         0
   2004    0         0         0         0         0
   6012   -0.005     7.9232   -6.4484    0.0019    0.2206                       
   6013   -0.0067    7.9401   -6.1049    0.0021    0.0924                       
   6014   -0.0235   10.2792   -8.4802    0.0013    0.1048                       
   6015   -0.0067    5.4723   -3.2269    0.0043    0.0207                       
   6016   -0.3933   11.0730   -8.7366    0.0010    0.0437                       
   6017   -0.4101   11.0556   -8.5739    0.0009    0.0489                       
   6018    0.3966   11.7344   -9.1207    0.0009    0.0360                       
   6019   -0.6286    5.1208   -2.6894    0.0049    0.1076                       
   6020   -0.6790    5.7074   -3.1137    0.0035    0.1370                       
   6021   -0.5613   10.1952   -6.9544    0.0011    0.0279                       
   6022   -0.3933   11.3319   -8.1950    0.0008    0.0953                       
   6023   -0.4269    7.8690   -4.1612    0.0017    0.0128                       
   6024   -0.4773    4.6768   -1.8811    0.0179    0.1567                       
   6025   -0.5613    5.4139   -1.4849    0.0108    0.0555                       
   6026   -0.4269    5.4780   -1.2750    0.0105    0.0541                       
   6027   -0.6286    5.5509   -1.3786    0.0111    0.0575                       
   7013   -0.4101   10.9721   -8.9386    0.0012    0.0810                       
   7014   -0.0235    7.6121   -5.4252    0.0028    0.0839                       
   7015   -0.0067   11.5828   -9.4719    0.0013    0.0973                       
   7016   -0.0067    9.7710   -7.2423    0.0018    0.0254                       
   7017   -0.3933   11.7002   -9.1955    0.0012    0.0621                       
   7018   -0.4101   12.0682   -9.4379    0.0010    0.0737                       
   7019   -0.4773   11.7710   -9.1838    0.0009    0.0605                       
   7020   -0.2588   11.2677   -8.5423    0.0011    0.0282                       
   7021   -0.3597   12.1080   -9.3304    0.0009    0.0405                       
   7022   -0.0403    4.4312   -2.5950    0.0231    0.2677                       
   7023   -0.1580    4.5833   -2.1793    0.0136    0.2162                       
   7024   -0.3092    9.3130   -5.5333    0.0014    0.0230                       
   7025   -0.3597   11.5602   -7.7477    0.0009    0.0268                       
   7026   -0.0067    5.1701   -1.9776    0.0181    0.1325                       
   7027   -0.0235    5.1536   -1.8059    0.0161    0.1554                       
   7028   -0.0739    5.6706   -1.5715    0.0252    0.0909                       
   7029   -0.0067    5.7303   -1.4762    0.0250    0.0954                       
   7030   -0.0067    5.5681   -9.9999    0.1858    0.0785                       
   7031    0.1950    9.5709   -4.5439    0.0011    0.0131                       
   7032    0.2118    9.9344   -4.1711    0.0008    0.0049                       
   8014   -0.0235   10.9657   -8.9932    0.0011    0.1157                       
   8015   -0.0067   11.7371   -9.5865    0.0012    0.1124                       
   8016   -0.0067   11.3353   -9.3352    0.0012    0.1175                       
   8017   -0.0067    6.5077   -4.2650    0.0036    0.0416                       
   8018   -0.0067    7.7240   -5.3981    0.0023    0.0403                       
   8019   -0.0067   10.5882   -8.2075    0.0012    0.0542                       
   8020   -0.0067    4.0024   -2.3258    0.0128    0.2645                       
   8021    0.0101   11.9007   -9.2467    0.0009    0.0943                       
   8022   -0.0235    4.7147   -2.4798    0.0063    0.1121                       
   8023   -0.0067   12.3569   -9.1580    0.0008    0.1230                       
   8024   -0.0403    4.3745   -2.3112    0.0172    0.2232                       
   8025   -0.0571    9.0479   -5.6548    0.0014    0.0242                       
   8026   -0.0235    4.5688   -2.1098    0.0172    0.1883                       
   8027   -0.0067    5.0837   -2.0269    0.0162    0.1094                       
   8028   -0.0067    5.0052   -2.1282    0.0170    0.1199                       
   8029   -0.0067    5.5667   -1.9033    0.0293    0.0891                       
   8030    0.1109    5.3157   -1.7592    0.0170    0.0680                       
   8031    0.1782    6.9546   -2.4199    0.0032    0.0106                       
   8032    0.1950    9.1942   -4.7034    0.0014    0.0142                       
   8033    0.2118    6.3287   -1.0821    0.0104    0.0048                       
   9015   -0.0067    5.4584   -2.9973    0.0046    0.0126                       
   9016   -0.0067    6.8406   -4.2283    0.0035    0.0203                       
   9017   -0.0067    6.8694   -4.4018    0.0032    0.0387                       
   9018   -0.0067    5.6137   -3.0957    0.0072    0.0216                       
   9019    0.0101    5.6878   -3.1321    0.0055    0.0135                       
   9020    0.2286    5.9365   -3.5234    0.0046    0.0173                       
   9021    0.1950   11.5649   -8.9331    0.0011    0.0738                       
   9022    0.1782    9.2656   -6.4884    0.0017    0.0190                       
   9023   -0.1580   12.1516   -9.2939    0.0009    0.0479                       
   9024   -0.0403   12.0782   -8.7332    0.0011    0.0340                       
   9025   -0.0908   11.6843   -8.4103    0.0010    0.0282                       
   9026   -0.0908    8.0785   -4.5457    0.0021    0.0074                       
   9027   -0.0235   11.7687   -8.1013    0.0009    0.0359                       
   9028   -0.0067    7.6343   -3.6438    0.0026    0.0089                       
   9029   -0.0067    7.6475   -3.7173    0.0025    0.0349                       
   9030    0.0773    7.4151   -2.8359    0.0028    0.0052                       
   9031    0.1445    8.1311   -3.8872    0.0020    0.0298                       
   9032    0.1782    7.5498   -2.9494    0.0027    0.0073                       
   9033    0.1782    7.8415   -3.2623    0.0022    0.0192                       
   9034    0.3294    6.6538   -1.8682    0.0049    0.0038                       
   9035    0.2118    8.9447   -3.6521    0.0015    0.0144                       
  10016   -0.0235    4.8081   -2.4063    0.0063    0.0129                       
  10017   -0.0067    7.1211   -4.4898    0.0029    0.0191                       
  10018    0.0941    7.7857   -5.4009    0.0021    0.0295                       
  10019    0.1445    5.9251   -3.5241    0.0046    0.0277                       
  10020    0.3462   11.1940   -8.9667    0.0011    0.0572                       
  10021    0.3630    9.3012   -6.8379    0.0016    0.0180                       
  10022    0.3294   10.7859   -8.3279    0.0012    0.0388                       
  10023    0.2118    7.5233   -4.8182    0.0023    0.0119                       
  10024   -0.1580   11.5368   -8.7211    0.0010    0.0404                       
  10025    0.0269    9.3208   -6.0780    0.0015    0.0241                       
  10026    0.0773   11.1403   -7.9109    0.0010    0.0204                       
  10027   -0.0739    6.6615   -3.2865    0.0033    0.0049                       
  10028   -0.0235   11.8140   -8.2173    0.0008    0.0300                       
  10029   -0.0067    6.2438   -2.5344    0.0050    0.0120                       
