#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  32  73 Ge  0.0  6.782   0.15000E+01   0.30000E+00   0.41850E+01  0.2585  7.6830  0.2060
  32  74 Ge  4.5 10.196   0.62000E-01   0.15000E-01   0.35800E+01  0.2509  7.3074  0.1910
  32  75 Ge  0.0  6.505   0.30000E+01   0.10000E+01   0.36960E+01  0.4603  7.0668  0.3105
  32  77 Ge  0.0  6.072   0.45000E+01   0.15000E+01   0.28060E+01  0.4728  6.9044  0.3188
  33  76 As  1.5  7.329   0.77000E-01   0.80000E-02   0.40430E+01  0.1014  7.7692  0.0900
  34  75 Se  0.0  8.027   0.34000E+00   0.80000E-01   0.42360E+01  0.2815  8.1736  0.2150
  34  77 Se  0.0  7.418   0.65000E+00   0.10000E+00   0.41500E+01  0.1854  8.0433  0.1559
  34  78 Se  0.5 10.498   0.11000E+00   0.30000E-01   0.35080E+01  0.2791  7.7038  0.2048
  34  79 Se  0.0  6.962   0.20000E+01   0.50000E+00   0.35080E+01  0.3052  7.1087  0.2274
  34  81 Se  0.0  6.701   0.20000E+01   0.80000E+00   0.21510E+01  0.5576  7.1702  0.3482
  34  83 Se  0.0  5.818   0.50000E+01   0.25000E+01   0.85400E+00  0.8152  6.8061  0.4404
  35  80 Br  1.5  7.892   0.47000E-01   0.50000E-02   0.36930E+01  0.0977  7.8223  0.0884
  35  82 Br  1.5  7.593   0.10500E+00   0.15000E-01   0.22790E+01  0.1270  7.2069  0.1088
  36  79 Kr  0.0  8.353   0.25000E+00   0.80000E-01   0.40620E+01  0.3941  8.2370  0.2755
  36  81 Kr  0.0  7.872   0.28000E+00   0.60000E-01   0.36570E+01  0.2634  8.4478  0.2061
  36  84 Kr  4.5 10.520   0.20000E+00   0.10000E+00   0.14000E+01  0.5129  5.9898  0.2916
  36  85 Kr  0.0  7.121   0.10000E+01   0.10000E+00   0.82900E+00  0.1062  7.4209  0.0952
  37  86 Rb  2.5  8.650   0.17000E+00   0.30000E-01   0.16100E+00  0.1371  6.0256  0.1142
  37  88 Rb  1.5  6.082   0.18000E+01   0.30000E+00  -0.39200E+00  0.1353  5.5259  0.1124
  38  85 Sr  0.0  8.530   0.32000E+00   0.12000E+00   0.22030E+01  0.4312  7.6799  0.2811
  38  87 Sr  0.0  8.427   0.26000E+01   0.80000E+00   0.18200E+00  0.2697  5.9107  0.1925
  38  88 Sr  4.5 11.113   0.29000E+00   0.80000E-01  -0.13690E+01  0.2216  5.3518  0.1655
  38  89 Sr  0.0  6.358   0.23700E+02   0.29000E+01  -0.87400E+00  0.0973  4.9732  0.0826
  39  90 Y   0.5  6.857   0.37000E+01   0.40000E+00  -0.11630E+01  0.0791  5.2158  0.0702
  40  91 Zr  0.0  7.194   0.60000E+01   0.14000E+01  -0.10460E+01  0.2019  5.6974  0.1560
  40  92 Zr  2.5  8.635   0.55000E+00   0.10000E+00   0.11500E+00  0.1638  6.1849  0.1335
  40  93 Zr  0.0  6.733   0.35000E+01   0.80000E+00   0.53400E+00  0.2465  6.5052  0.1884
  40  94 Zr  2.5  8.220   0.16000E+00   0.15000E-01   0.14120E+01  0.1088  7.7603  0.0969
  40  95 Zr  0.0  6.463   0.32000E+01   0.80000E+00   0.14470E+01  0.3105  6.8901  0.2304
  40  97 Zr  0.0  5.579   0.13000E+02   0.30000E+01   0.23310E+01  0.3103  6.2586  0.2345
  41  94 Nb  4.5  7.227   0.80000E-01   0.10000E-01   0.69200E+00  0.1119  6.9868  0.0978
  42  93 Mo  0.0  8.070   0.27000E+01   0.50000E+00  -0.15260E+01  0.1495  5.9402  0.1225
  42  95 Mo  0.0  7.369   0.13200E+01   0.18000E+00   0.26600E+00  0.1349  6.9887  0.1150
  42  96 Mo  2.5  9.154   0.10500E+00   0.10000E-01   0.11260E+01  0.0930  7.4182  0.0831
  42  97 Mo  0.0  6.821   0.10500E+01   0.20000E+00   0.17340E+01  0.2436  7.8397  0.1947
  42  98 Mo  2.5  8.642   0.75000E-01   0.20000E-01   0.24250E+01  0.3531  8.3248  0.2615
  42  99 Mo  0.0  5.925   0.10000E+01   0.20000E+00   0.32890E+01  0.3287  9.4132  0.2630
  43 100 Tc  4.5  6.764   0.12000E-01   0.13000E-02   0.29900E+01  0.1398  9.6139  0.1245
  44 100 Ru  2.5  9.673   0.25000E-01   0.40000E-02   0.13830E+01  0.1735  8.4366  0.1449
  44 102 Ru  2.5  9.219   0.18000E-01   0.30000E-02   0.26060E+01  0.2135  9.3706  0.1756
  44 103 Ru  0.0  6.232   0.55000E+00   0.15000E+00   0.34380E+01  0.4694  9.8437  0.3457
  44 105 Ru  0.0  5.910   0.30000E+00   0.75000E-01   0.40150E+01  0.4769 11.5730  0.3639
  45 104 Rh  0.5  6.999   0.32000E-01   0.40000E-02   0.29230E+01  0.1595  9.8587  0.1397
  46 105 Pd  0.0  7.094   0.24000E+00   0.30000E-01   0.20810E+01  0.1718  9.4273  0.1490
  46 106 Pd  2.5  9.562   0.10300E-01   0.50000E-03   0.22860E+01  0.0575  9.5929  0.0520
  46 107 Pd  0.0  6.538   0.14400E+00   0.32000E-01   0.30740E+01  0.3805 11.2515  0.3000
  46 108 Pd  2.5  9.221   0.11000E-01   0.90000E-03   0.30050E+01  0.1047 10.0175  0.0940
  46 109 Pd  0.0  6.153   0.18200E+00   0.33000E-01   0.35940E+01  0.3245 11.8120  0.2670
  46 111 Pd  0.0  5.750   0.28000E+00   0.50000E-01   0.37900E+01  0.3401 12.2269  0.2790
  47 108 Ag  0.5  7.270   0.22400E-01   0.50000E-02   0.24700E+01  0.2968  9.9558  0.2319
  47 110 Ag  0.5  6.809   0.15100E-01   0.14000E-02   0.32000E+01  0.1293 11.1983  0.1168
  48 107 Cd  0.0  7.925   0.13500E+00   0.35000E-01   0.51700E+00  0.3311  8.9232  0.2474
  48 109 Cd  0.0  7.323   0.12000E+00   0.30000E-01   0.15930E+01  0.3720  9.9524  0.2829
  48 111 Cd  0.0  6.975   0.15500E+00   0.20000E-01   0.22660E+01  0.1894 10.2672  0.1649
  48 112 Cd  0.5  9.398   0.20000E-01   0.40000E-02   0.22320E+01  0.2713 10.2643  0.2181
  48 113 Cd  0.0  6.540   0.19000E+00   0.25000E-01   0.26910E+01  0.2088 10.8109  0.1816
  48 114 Cd  0.5  9.042   0.24800E-01   0.26000E-02   0.24390E+01  0.1424 10.4827  0.1252
  48 115 Cd  0.0  6.141   0.23500E+00   0.35000E-01   0.27540E+01  0.2566 11.3833  0.2172
  48 117 Cd  0.0  5.777   0.39000E+00   0.90000E-01   0.24680E+01  0.4308 11.2700  0.3341
  49 114 In  4.5  7.274   0.13000E-01   0.30000E-02   0.20740E+01  0.2888  8.9465  0.2229
  49 116 In  4.5  6.784   0.95000E-02   0.50000E-03   0.22930E+01  0.0668  9.9036  0.0635
  50 113 Sn  0.0  7.742   0.15700E+00   0.52000E-01   0.79100E+00  0.4647  9.0313  0.3182
  50 115 Sn  0.0  7.546   0.28600E+00   0.10600E+00   0.90100E+00  0.5281  8.5922  0.3461
  50 117 Sn  0.0  6.944   0.38000E+00   0.13000E+00   0.12050E+01  0.5338  9.0075  0.3625
  50 118 Sn  0.5  9.326   0.55000E-01   0.50000E-02   0.88200E+00  0.1040  8.9988  0.0919
  50 119 Sn  0.0  6.485   0.48000E+00   0.90000E-01   0.11080E+01  0.2825  9.3091  0.2283
  50 120 Sn  0.5  9.107   0.90000E-01   0.20000E-01   0.46700E+00  0.2682  8.6190  0.2088
  50 121 Sn  0.0  6.171   0.16400E+01   0.20000E+00   0.49700E+00  0.1663  8.0219  0.1429
  50 125 Sn  0.0  5.733   0.50000E+01   0.12000E+01  -0.21070E+01  0.3090  6.7486  0.2318
  51 122 Sb  2.5  6.807   0.13000E-01   0.20000E-02   0.12610E+01  0.2039  9.8451  0.1702
