 Masses based on Wapstra 1986 and Moller-Nix 1986 merged files, as obtained
 from D. Madland (files MASS86 and MN86, respectively). Spin, parities from
 BCDGRD3 and Nuclear Wallet Cards.  Date 10/25/88.  Total entries 4795.
   3846
  13027 -17.197200  102.5  13028 -16.851000  103.0  13029 -18.215800  102.5  13030 -15.890000  199.0  13031 -15.050000 9999.0
  13032  -9.771000 9999.0  13033  -9.567000 9999.0  13034  -2.682000 9999.0  13035   0.419000 9999.0  13036   4.876000 9999.0
  13037   9.528000 9999.0  13038  14.924000 9999.0  13039  20.975000 9999.0  13040  27.499000 9999.0  13041  34.113000 9999.0
  13042  41.943000 9999.0  13043  49.656000 9999.0  14020  65.861000 9999.0  14021  51.697000 9999.0  14022  33.306000 9999.0
  14023  23.864000 9999.0  14024  10.755000  100.0  14025   3.827000  102.5  14026  -7.145000  100.0  14027 -12.385400  102.5
  14028 -21.492900  100.0  14029 -21.895400  100.5  14030 -24.433600  100.0  14031 -22.950600  101.5  14032 -24.081100  100.0
  14033 -20.492000 9999.0  14034 -19.958000  100.0  14035 -14.320000 9999.0  14036 -11.342000 9999.0  14037  -6.556000 9999.0
  14038  -3.158000 9999.0  14039   1.911000 9999.0  14040   6.010000 9999.0  14041  12.178000 9999.0  14042  16.683000 9999.0
  14043  24.649000 9999.0  14044  31.531000 9999.0  14045  39.920000 9999.0  14046  47.757000 9999.0  15021  81.334000 9999.0
  15022  65.227000 9999.0  15023  44.503000 9999.0  15024  31.452000 9999.0  15025  18.477000 9999.0  15026   9.560000 9999.0
  15027  -0.750000 9999.0  15028  -7.161000  103.0  15029 -16.951900  100.5  15030 -20.200900  101.0  15031 -24.441200  100.5
  15032 -24.305500  101.0  15033 -26.338100  100.5  15034 -24.557700  101.0  15035 -24.857900 9999.0  15036 -20.251000 9999.0
  15037 -18.523000 9999.0  15038 -14.795000 9999.0  15039 -12.511000 9999.0  15040  -7.728000 9999.0  15041  -4.531000 9999.0
  15042   0.793000 9999.0  15043   5.002000 9999.0  15044  11.120000 9999.0  15045  17.649000 9999.0  15046  24.901000 9999.0
  15047  32.258000 9999.0  15048  40.051000 9999.0  16022  94.600000 9999.0  16023  75.403000 9999.0  16024  54.595000 9999.0
  16025  42.594000 9999.0  16026  27.158000 9999.0  16027  16.622000 9999.0  16028   4.130000  100.0  16029  -3.160000 9999.0
  16030 -14.063000  100.0  16031 -19.045400  100.5  16032 -26.016370  100.0  16033 -26.586630  101.5  16034 -29.932370  100.0
  16035 -28.846910  101.5  16036 -30.664250  100.0  16037 -26.896480  -96.5  16038 -26.861000  100.0  16039 -22.979000 9999.0
  16040 -22.520000 9999.0  16041 -17.722000 9999.0  16042 -15.902000 9999.0  16043 -11.086000 9999.0  16044  -8.367000 9999.0
  16045  -2.616000 9999.0  16046   2.923000 9999.0  16047   9.926000 9999.0  16048  16.173000 9999.0  16049  23.997000 9999.0
  16050  30.355000 9999.0  17023 110.702000 9999.0  17024  89.879000 9999.0  17025  68.276000 9999.0  17026  52.784000 9999.0
  17027  37.308000 9999.0  17028  25.345000 9999.0  17029  12.673000 9999.0  17030   3.769000 9999.0  17031  -7.060000 9999.0
  17032 -13.330000  102.0  17033 -21.003800  101.5  17034 -24.440070  100.0  17035 -29.013740  101.5  17036 -29.522100  102.0
  17037 -31.761780  101.5  17038 -29.798260  -98.0  17039 -29.802800  101.5  17040 -27.530000  -98.0  17041 -27.400000 9999.0
  17042 -25.184000 9999.0  17043 -23.130000 9999.0  17044 -19.861000 9999.0  17045 -17.236000 9999.0  17046 -12.274000 9999.0
  17047  -7.396000 9999.0  17048  -1.399000 9999.0  17049   4.263000 9999.0  17050  10.817000 9999.0  17051  16.646000 9999.0
  17052  24.126000 9999.0  18024 125.868000 9999.0  18025 103.769000 9999.0  18026  81.516000 9999.0  18027  65.215000 9999.0
  18028  47.197000 9999.0  18029  34.434000 9999.0  18030  19.971000 9999.0  18031  10.578000 9999.0  18032  -2.180000 9999.0
  18033  -9.380000 9999.0  18034 -18.379000  100.0  18035 -23.048900  101.5  18036 -30.230710  100.0  18037 -30.948700  101.5
  18038 -34.715100  100.0  18039 -33.241000  -96.5  18040 -35.039100  100.0  18041 -33.066500  -96.5  18042 -34.420000  100.0
  18043 -31.980000 9999.0  18044 -32.260000  100.0  18045 -29.720000 9999.0  18046 -29.720000  100.0  18047 -25.910000 9999.0
  18048 -19.793000 9999.0  18049 -13.662000 9999.0  18050  -9.232000 9999.0  18051  -2.661000 9999.0  18052   2.070000 9999.0
  18053   8.864000 9999.0  18054  14.895000 9999.0  19026 120.344000 9999.0  19027  96.842000 9999.0  19028  78.520000 9999.0
  19029  60.296000 9999.0  19030  45.608000 9999.0  19031  31.164000 9999.0  19032  19.912000 9999.0  19033   7.429000 9999.0
  19034  -0.771000 9999.0  19035 -11.167000 9999.0  19036 -17.425000 9999.0  19037 -24.798700  101.5  19038 -28.802000  103.0
  19039 -33.806300  101.5  19040 -33.534500  -96.0  19041 -35.558400  101.5  19042 -35.020900  -98.0  19043 -36.593000  101.5
  19044 -35.810000  -98.0  19045 -36.614000  101.5  19046 -35.418000  -98.0  19047 -35.696000  100.5  19048 -32.122000 9999.0
  19049 -30.770000 9999.0  19050 -22.898000 9999.0  19051 -18.690000 9999.0  19052 -13.288000 9999.0  19053  -8.542000 9999.0
  19054  -2.506000 9999.0  19055   2.859000 9999.0  19056   9.416000 9999.0  20028 109.572000 9999.0  20029  92.524000 9999.0
  20030  72.130000 9999.0  20031  56.623000 9999.0  20032  41.347000 9999.0  20033  28.986000 9999.0  20034  13.939000 9999.0
  20035   4.450000 9999.0  20036  -6.440000 9999.0  20037 -13.159000  101.5  20038 -22.059000  100.0  20039 -27.275600  101.5
  20040 -34.846100  100.0  20041 -35.137500  -96.5  20042 -38.547000  100.0  20043 -38.408600  -96.5  20044 -41.469200  100.0
  20045 -40.812800  -96.5  20046 -43.140700  100.0  20047 -42.345500  -96.5  20048 -44.214000  100.0  20049 -41.289000  -98.5
  20050 -39.570000  100.0  20051 -35.010000 9999.0  20052 -30.342000 9999.0  20053 -24.472000 9999.0  20054 -21.200000 9999.0
  20055 -15.104000 9999.0  20056 -11.139000 9999.0  20057  -4.907000 9999.0  20058  -0.218000 9999.0  21030 108.725000 9999.0
  21031  87.831000 9999.0  21032  69.768000 9999.0  21033  53.668000 9999.0  21034  40.247000 9999.0  21035  24.932000 9999.0
  21036  14.652000 9999.0  21037   3.085000 9999.0  21038  -4.640000 9999.0  21039 -14.300000 9999.0  21040 -20.526000  -96.0
  21041 -28.643000  -96.5  21042 -32.121900  100.0  21043 -36.187800  -96.5  21044 -37.815900  102.0  21045 -41.069500  -96.5
  21046 -41.758800  104.0  21047 -44.330400  -96.5  21048 -44.492000  106.0  21049 -46.558000  -96.5  21050 -44.537000  105.0
  21051 -43.218000  -96.5  21052 -39.024000 9999.0  21053 -36.303000 9999.0  21054 -31.630000 9999.0  21055 -28.747000 9999.0
  21056 -23.777000 9999.0  21057 -19.934000 9999.0  21058 -14.336000 9999.0  21059 -10.010000 9999.0  21060  -5.096000 9999.0
  22032 100.867000 9999.0  22033  83.466000 9999.0  22034  64.232000 9999.0  22035  50.741000 9999.0  22036  33.353000 9999.0
  22037  21.950000 9999.0  22038   9.612000 9999.0  22039   0.197000 9999.0  22040  -9.063000 9999.0  22041 -15.690000 9999.0
  22042 -25.121000  100.0  22043 -29.320000  -96.5  22044 -37.548200  100.0  22045 -39.006400  -96.5  22046 -44.125400  100.0
  22047 -44.931800  -97.5  22048 -48.487100  100.0  22049 -48.558100  -96.5  22050 -51.426000  100.0  22051 -49.726900  -98.5
  22052 -49.464000  100.0  22053 -46.830000 9999.0  22054 -45.054000  100.0  22055 -40.363000 9999.0  22056 -38.572000 9999.0
  22057 -33.749000 9999.0  22058 -31.226000 9999.0  22059 -25.758000 9999.0  22060 -22.669000 9999.0  22061 -17.631000 9999.0
