#
# Data file of the   first-excited state energies(keV)(E2+) and
# parameters "beta" obtained from the  B(E2)up transition values.
# A parameter "beta" corresponds to  deformation parameter "beta2"
# in absolute value and in the lowest order on deformation.
# The data   extracted from data file  "raman_tableI.txt"
# of the paper by S.Raman, C.W.Nestor,Jr, P.Tikkanen
# [Atom.Data Nucl.Data Tabl. 78(2001)1;  Table 1 for even-even nuclei]
# FORMAT (I4,I4,f13.5,f10.4)
#
#  Z   A     E2+        beta
#
   2   4  27420.00000
  50 122   1140.55000     .1036
  50 124   1131.73900     .0953
  50 126   1141.15000
  50 128   1168.83000
  50 130   1221.26000
  50 132   4041.10000
  50 134    725.00000
  52 108    625.40000
  52 110    657.70000
  52 112    689.01000
  52 114    708.90000
  52 116    678.92000
  52 118    605.70600
  52 120    560.43800     .2010
  52 122    564.11700     .1847
  52 124    602.73100     .1695
  52 126    666.33800     .1534
  52 128    743.30000     .1363
  52 130    839.49400     .1184
  52 132    973.90000
  52 134   1279.04000
  52 136    605.91000
  52 138    443.10000
  54 112    466.00000
  54 114    449.70000     .2210
  54 116    393.50000     .2490
  54 118    337.32000     .2650
  54 120    322.40000     .2910
  54 122    331.18000     .2590
  54 124    354.14000     .2120
  54 126    388.63400     .1881
  54 128    442.91000     .1836
  54 130    536.08500     .1690
  54 132    667.72000     .1409
  54 134    847.04100     .1190
  54 136   1313.02800     .1220
  54 138    588.82500
  54 140    376.65800     .1137
  54 142    287.10000
  54 144    252.60000
  56 118    194.00000
  56 120    183.00000
  56 122    196.10000     .3540
  56 124    229.89000     .3020
  56 126    256.09000     .2730
  56 128    284.09000     .2490
  56 130    357.38000     .2183
  56 132    464.58800     .1860
  56 134    604.72300     .1609
  56 136    818.51500     .1258
  56 138   1435.81800     .0933
  56 140    602.35000     .1260
  56 142    359.59700     .1595
  56 144    199.32600     .1940
  56 146    181.05000     .2180
  56 148    141.70000
  58 124    142.00000     .3850
  58 126    169.59000     .3250
  58 128    207.30000     .2980
  58 130    253.99000     .2580
  58 132    325.54000     .2640
  58 134    409.12000     .1950
  58 136    552.20000     .1700
  58 138    788.74400     .1259
  58 140   1596.22700     .1015
  58 142    641.28600     .1277
  58 144    397.44100     .1660
  58 146    258.46000     .1930
  58 148    158.46800     .2510
  58 150     97.10000     .3200
  58 152     81.70000
  60 128    133.66000
  60 130    158.00000     .3700
  60 132    212.62000     .3490
  60 134    294.30000     .2490
  60 136    373.60000
  60 138    520.10000
  60 140    773.73000
  60 142   1575.83000     .0917
  60 144    696.51300     .1237
  60 146    453.77000     .1524
  60 148    301.70200     .2013
  60 150    130.21000     .2853
  60 152     72.51000     .3490
  60 154     70.80000
  60 156     66.90000
  62 130    122.00000
  62 132    131.00000
  62 134    163.00000     .3660
  62 136    254.91000     .2930
  62 138    346.90000     .2080
  62 140    530.70000
  62 142    768.00000
  62 144   1660.20000     .0874
  62 146    747.11500
  62 148    550.26500     .1423
  62 150    333.86300     .1931
  62 152    121.78170     .3064
  62 154     81.97600     .3410
  62 156     75.89000
  62 158     72.80000
  62 160     70.60000
  64 138    220.90000
  64 140    328.60000
  64 142    515.30000
  64 144    743.00000
  64 146   1971.97000
  64 148    784.43000
  64 150    638.04500
  64 152    344.27890     .2060
  64 154    123.07140     .3120
  64 156     88.96660     .3378
  64 158     79.51000     .3484
  64 160     75.26000     .3534
  64 162     71.00000
  66 142    315.90000
  66 144    492.50000
  66 146    682.90000
  66 148   1677.30000
  66 150    803.40000
  66 152    613.81000     .0970
  66 154    334.58000     .2370
  66 156    137.83000     .2929
  66 158     98.91800     .3255
  66 160     86.78820     .3387
  66 162     80.66000     .3430
  66 164     73.39200     .3481
  66 166     76.58700
  68 144    330.00000
  68 148    646.60000
  68 150   1578.87000
  68 152    808.27000
  68 154    560.00000
  68 156    344.51000     .1890
  68 158    192.15000     .2550
  68 160    125.80000     .3040
  68 162    102.04000     .3222
  68 164     91.40000     .3333
  68 166     80.57700     .3420
  68 168     79.80400     .3381
  68 170     78.59100     .3363
  68 172     77.00000
  70 152   1531.40000
  70 154    821.30000
  70 156    536.40000
  70 158    358.20000     .1940
  70 160    243.10000     .2300
  70 162    166.85000     .2630
  70 164    123.36000     .2900
  70 166    102.37000     .3150
  70 168     87.73000     .3220
  70 170     84.25474     .3258
  70 172     78.74270     .3302
  70 174     76.47100     .3249
  70 176     82.13000     .3050
  70 178     84.00000
  72 154   1513.00000
  72 156    858.00000
  72 158    476.36000
  72 160    389.60000
  72 162    285.00000     .1580
  72 164    211.05000     .1970
  72 166    158.50000     .2500
  72 168    124.00000     .2750
  72 170    100.80000     .3010
  72 172     95.22000     .2760
  72 174     90.98500     .2860
  72 176     88.35100     .2953
  72 178     93.18000     .2803
  72 180     93.32600     .2738
  72 182     97.79000
  72 184    107.40000
  74 162    450.20000
  74 164    331.60000
  74 166    251.70000
  74 168    199.30000     .2320
  74 170    156.85000     .2400
  74 172    123.20000     .2840
  74 174    113.00000     .2510
  74 176    109.08000
  74 178    106.06000
  74 180    103.55700     .2540
  74 182    100.10600     .2508
  74 184    111.20800     .2362
  74 186    122.33000     .2257
  74 188    143.00000
  74 190    205.00000
  76 164    548.00000
  76 166    430.80000
  76 168    341.20000
  76 170    286.70000
  76 172    227.77000     .2250
  76 174    158.70000     .2660
  76 176    135.10000
  76 178    131.60000
  76 180    132.30000     .2260
  76 182    127.00000     .2340
  76 184    119.80000     .2130
  76 186    137.15900     .2000
  76 188    155.02100     .1862
  76 190    186.71800     .1775
  76 192    205.79561     .1667
  76 194    218.50900
  76 196    300.00000
  78 168    582.00000
  78 170    509.00000
  78 172    457.00000
  78 174    394.00000
  78 176    263.90000     .1900
  78 178    170.10000
  78 180    152.23000     .2560
  78 182    154.90000
  78 184    162.97000     .2240
  78 186    191.53000     .1979
  78 188    265.63000     .1860
  78 190    295.80000     .1490
  78 192    316.50819     .1532
  78 194    328.45300     .1426
  78 196    355.68410     .1296
  78 198    407.22000     .1141
  78 200    470.10000
  80 176    613.30000
  80 178    558.30000
  80 180    434.10000
  80 182    351.80000
  80 184    366.51000     .1600
  80 186    405.33000     .1320
  80 188    412.80000
  80 190    416.40000
  80 192    422.80000
