#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh         +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV]
#----------------------------------------------------------------------------------------------------
  32  71 Ge  0.0  7.416   0.89000E+00   0.21000E+00   0.37750E+01  0.3258  5.9222  0.2516 
  32  73 Ge  0.0  6.782   0.15000E+01   0.30000E+00   0.41850E+01  0.2901  6.0175  0.2334 
  32  74 Ge  4.5 10.196   0.62000E-01   0.15000E-01   0.35800E+01  0.3046  5.3604  0.2322 
  32  75 Ge  0.0  6.505   0.30000E+01   0.10000E+01   0.36960E+01  0.5279  5.3449  0.3668 
  32  77 Ge  0.0  6.072   0.45000E+01   0.15000E+01   0.28060E+01  0.5422  5.2526  0.3758 
  33  76 As  1.5  7.329   0.77000E-01   0.80000E-02   0.40430E+01  0.1207  5.7779  0.1069 
  34  75 Se  0.0  8.027   0.34000E+00   0.80000E-01   0.42360E+01  0.3224  6.3611  0.2488 
  34  77 Se  0.0  7.418   0.65000E+00   0.10000E+00   0.41500E+01  0.2101  6.2378  0.1769 
  34  78 Se  0.5 10.498   0.11000E+00   0.30000E-01   0.35080E+01  0.3357  5.6387  0.2472 
  34  79 Se  0.0  6.962   0.20000E+01   0.50000E+00   0.35080E+01  0.3593  5.2313  0.2721 
  34  81 Se  0.0  6.701   0.20000E+01   0.80000E+00   0.21510E+01  0.6486  5.4314  0.4147 
  34  83 Se  0.0  5.818   0.50000E+01   0.25000E+01   0.85400E+00  0.9315  5.2239  0.5267 
  35  80 Br  1.5  7.892   0.47000E-01   0.50000E-02   0.36930E+01  0.1184  5.6961  0.1036 
  35  82 Br  1.5  7.593   0.10500E+00   0.15000E-01   0.22790E+01  0.1548  5.0818  0.1306 
  36  79 Kr  0.0  8.353   0.25000E+00   0.80000E-01   0.40620E+01  0.4561  6.2948  0.3198 
  36  81 Kr  0.0  7.872   0.28000E+00   0.60000E-01   0.36570E+01  0.2982  6.5934  0.2354 
  36  84 Kr  4.5 10.520   0.20000E+00   0.10000E+00   0.14000E+01  0.5872  3.6886  0.3111 
  36  85 Kr  0.0  7.121   0.10000E+01   0.10000E+00   0.82900E+00  0.1257  5.7007  0.1121 
  37  86 Rb  2.5  8.650   0.17000E+00   0.30000E-01   0.16100E+00  0.1408  3.7706  0.1129 
  37  88 Rb  1.5  6.082   0.18000E+01   0.30000E+00  -0.39200E+00  0.1617  3.3846  0.1296 
  38  85 Sr  0.0  8.530   0.32000E+00   0.12000E+00   0.22030E+01  0.5166  5.6479  0.3376 
  38  87 Sr  0.0  8.427   0.26000E+01   0.80000E+00   0.18200E+00  0.3115  3.6916  0.2129 
  38  88 Sr  4.5 11.113   0.29000E+00   0.80000E-01  -0.13690E+01  0.2065  3.2281  0.1468 
  38  89 Sr  0.0  6.358   0.23700E+02   0.29000E+01  -0.87400E+00  0.1172  2.8778  0.0977 
  39  90 Y   0.5  6.857   0.37000E+01   0.40000E+00  -0.11630E+01  0.0810  3.0430  0.0688 
  40  91 Zr  0.0  7.194   0.60000E+01   0.14000E+01  -0.10460E+01  0.2484  3.6230  0.1852 
  40  92 Zr  2.5  8.635   0.55000E+00   0.10000E+00   0.11500E+00  0.2030  4.0673  0.1617 
  40  93 Zr  0.0  6.733   0.35000E+01   0.80000E+00   0.53400E+00  0.3026  4.5001  0.2307 
  40  94 Zr  2.5  8.220   0.16000E+00   0.15000E-01   0.14120E+01  0.1244  5.8350  0.1109 
  40  95 Zr  0.0  6.463   0.32000E+01   0.80000E+00   0.14470E+01  0.3671  4.8515  0.2747 
  40  97 Zr  0.0  5.579   0.13000E+02   0.30000E+01   0.23310E+01  0.3684  4.0267  0.2790 
  41  94 Nb  4.5  7.227   0.80000E-01   0.10000E-01   0.69200E+00  0.1358  4.8179  0.1156 
  42  93 Mo  0.0  8.070   0.27000E+01   0.50000E+00  -0.15260E+01  0.1742  3.8237  0.1380 
  42  95 Mo  0.0  7.369   0.13200E+01   0.18000E+00   0.26600E+00  0.1646  4.9741  0.1382 
  42  96 Mo  2.5  9.154   0.10500E+00   0.10000E-01   0.11260E+01  0.1119  5.2946  0.0975 
  42  97 Mo  0.0  6.821   0.10500E+01   0.20000E+00   0.17340E+01  0.2754  5.8271  0.2225 
  42  98 Mo  2.5  8.642   0.75000E-01   0.20000E-01   0.24250E+01  0.3972  6.2000  0.2949 
  42  99 Mo  0.0  5.925   0.10000E+01   0.20000E+00   0.32890E+01  0.3510  7.3418  0.2832 
  42 101 Mo  0.0  5.399   0.80000E+00   0.15000E+00   0.44740E+01  0.3681  8.9380  0.3006 
  43 100 Tc  4.5  6.764   0.12000E-01   0.13000E-02   0.29900E+01  0.1524  7.4729  0.1338 
  44 100 Ru  2.5  9.673   0.25000E-01   0.40000E-02   0.13830E+01  0.1983  6.3028  0.1658 
  44 102 Ru  2.5  9.219   0.18000E-01   0.30000E-02   0.26060E+01  0.2328  7.1944  0.1938 
  44 103 Ru  0.0  6.232   0.55000E+00   0.15000E+00   0.34380E+01  0.4989  7.6526  0.3711 
  44 105 Ru  0.0  5.910   0.30000E+00   0.75000E-01   0.40150E+01  0.4954  9.3307  0.3762 
  45 104 Rh  0.5  6.999   0.32000E-01   0.40000E-02   0.29230E+01  0.1732  7.6241  0.1499 
  46 105 Pd  0.0  7.094   0.24000E+00   0.30000E-01   0.20810E+01  0.1851  7.3166  0.1603 
  46 106 Pd  2.5  9.562   0.10300E-01   0.50000E-03   0.22860E+01  0.0621  7.3598  0.0572 
  46 107 Pd  0.0  6.538   0.14400E+00   0.32000E-01   0.30740E+01  0.3999  9.0781  0.3134 
  46 108 Pd  2.5  9.221   0.11000E-01   0.90000E-03   0.30050E+01  0.1126  7.6912  0.1021 
  46 109 Pd  0.0  6.153   0.18200E+00   0.33000E-01   0.35940E+01  0.3392  9.5347  0.2769 
  46 111 Pd  0.0  5.750   0.28000E+00   0.50000E-01   0.37900E+01  0.3500  9.8766  0.2881 
  47 108 Ag  0.5  7.270   0.22400E-01   0.50000E-02   0.24700E+01  0.3217  7.6807  0.2513 
  47 110 Ag  0.5  6.809   0.15100E-01   0.14000E-02   0.32000E+01  0.1381  8.8766  0.1222 
  48 107 Cd  0.0  7.925   0.13500E+00   0.35000E-01   0.51700E+00  0.3690  6.8740  0.2769 
  48 109 Cd  0.0  7.323   0.12000E+00   0.30000E-01   0.15930E+01  0.4012  7.8458  0.3044 
  48 111 Cd  0.0  6.975   0.15500E+00   0.20000E-01   0.22660E+01  0.2013  8.0445  0.1750 
  48 112 Cd  0.5  9.398   0.20000E-01   0.40000E-02   0.22320E+01  0.2914  7.9647  0.2332 
  48 113 Cd  0.0  6.540   0.19000E+00   0.25000E-01   0.26910E+01  0.2211  8.5153  0.1908 
  48 114 Cd  0.5  9.042   0.24800E-01   0.26000E-02   0.24390E+01  0.1497  8.1370  0.1335 
  48 115 Cd  0.0  6.141   0.23500E+00   0.35000E-01   0.27540E+01  0.2675  9.0606  0.2273 
  48 117 Cd  0.0  5.777   0.39000E+00   0.90000E-01   0.24680E+01  0.4510  8.9490  0.3512 
  49 114 In  4.5  7.274   0.13000E-01   0.30000E-02   0.20740E+01  0.3171  6.5110  0.2432 
  49 116 In  4.5  6.784   0.95000E-02   0.50000E-03   0.22930E+01  0.0721  7.4950  0.0665 
  50 113 Sn  0.0  7.742   0.15700E+00   0.52000E-01   0.79100E+00  0.5092  6.8435  0.3512 
  50 115 Sn  0.0  7.546   0.28600E+00   0.10600E+00   0.90100E+00  0.5817  6.3126  0.3811 
  50 117 Sn  0.0  6.944   0.38000E+00   0.13000E+00   0.12050E+01  0.5783  6.7090  0.3929 
  50 118 Sn  0.5  9.326   0.55000E-01   0.50000E-02   0.88200E+00  0.1142  6.6616  0.1006 
  50 119 Sn  0.0  6.485   0.48000E+00   0.90000E-01   0.11080E+01  0.3038  7.0248  0.2460 
  50 120 Sn  0.5  9.107   0.90000E-01   0.20000E-01   0.46700E+00  0.2962  6.2797  0.2285 
  50 121 Sn  0.0  6.171   0.16400E+01   0.20000E+00   0.49700E+00  0.1827  5.6930  0.1557 
  50 125 Sn  0.0  5.733   0.50000E+01   0.12000E+01  -0.21070E+01  0.3479  4.6615  0.2594 
  51 122 Sb  2.5  6.807   0.13000E-01   0.20000E-02   0.12610E+01  0.2176  7.4548  0.1823 
  51 124 Sb  3.5  6.468   0.24000E-01   0.30000E-02   0.23400E+00  0.1691  6.7478  0.1462 
  52 123 Te  0.0  6.929   0.13200E+00   0.15000E-01   0.16350E+01  0.1792  8.1867  0.1569 
  52 124 Te  0.5  9.425   0.17000E-01   0.30000E-02   0.88900E+00  0.2465  7.8826  0.2025 
  52 125 Te  0.0  6.576   0.19000E+00   0.20000E-01   0.77100E+00  0.1690  8.1540  0.1482 
  52 126 Te  0.5  9.113   0.38000E-01   0.50000E-02  -0.16800E+00  0.1734  7.2024  0.1486 
  52 127 Te  0.0  6.291   0.55000E+00   0.10000E+00  -0.48400E+00  0.2905  6.9426  0.2364 
  52 129 Te  0.0  6.083   0.14600E+01   0.30000E+00  -0.21440E+01  0.3045  5.7726  0.2399 
  52 131 Te  0.0  5.929   0.10400E+01   0.10000E+00  -0.41840E+01  0.1327  6.3027  0.1174 
  53 128 I   2.5  6.826   0.15400E-01   0.50000E-03   0.10900E+00  0.0412  7.1367  0.0383 
  53 130 I   3.5  6.500   0.13600E-01   0.30000E-03  -0.12770E+01  0.0288  7.3251  0.0253 
  54 129 Xe  0.0  6.907   0.25000E+00   0.10000E+00   0.49700E+00  0.7202  7.0858  0.4573 
  54 130 Xe  0.5  9.256   0.38000E-01   0.50000E-02  -0.37200E+00  0.1670  6.9696  0.1432 
  54 131 Xe  0.0  6.605   0.23000E+00   0.60000E-01  -0.76700E+00  0.4376  7.6266  0.3263 
  54 132 Xe  1.5  8.935   0.49000E-01   0.15000E-01  -0.17920E+01  0.4103  6.1659  0.2882 
  54 133 Xe  0.0  6.439   0.75000E+00   0.23600E+00  -0.24700E+01  0.4910  6.1354  0.3426 
  54 135 Xe  0.0  6.383   0.16000E+01   0.60000E+00  -0.46700E+01  0.5342  5.2348  0.3425 
  54 137 Xe  0.0  4.026   0.13000E+02   0.60000E+01  -0.47590E+01  1.0042  5.4388  0.5884 
  55 134 Cs  3.5  6.891   0.21000E-01   0.20000E-02  -0.15460E+01  0.1141  6.3265  0.0999 
  55 135 Cs  4.0  8.762   0.16000E-01   0.30000E-02  -0.25810E+01  0.1999  5.7710  0.1593 
  55 136 Cs  3.5  6.828   0.51000E-01   0.16000E-01  -0.36690E+01  0.3755  5.4392  0.2597 
  56 131 Ba  0.0  7.493   0.58000E-01   0.10000E-01   0.13290E+01  0.2685  8.2370  0.2210 
  56 133 Ba  0.0  7.189   0.11000E+00   0.35000E-01   0.33500E+00  0.5395  7.7419  0.3779 
  56 135 Ba  0.0  6.972   0.37100E+00   0.36000E-01  -0.10620E+01  0.1318  6.4005  0.1149 
  56 136 Ba  1.5  9.107   0.40000E-01   0.60000E-02  -0.20480E+01  0.1755  6.1780  0.1472 
  56 137 Ba  0.0  6.906   0.12100E+01   0.11900E+00  -0.29350E+01  0.1113  5.0490  0.0964 
  56 138 Ba  1.5  8.611   0.26000E+00   0.50000E-01  -0.38760E+01  0.1947  4.7292  0.1533 
  56 139 Ba  0.0  4.723   0.18700E+02   0.29000E+01  -0.30170E+01  0.2249  3.9698  0.1814 
  57 139 La  5.0  8.778   0.32000E-01   0.60000E-02  -0.29010E+01  0.1760  4.9911  0.1396 
  57 140 La  3.5  5.161   0.22000E+00   0.40000E-01  -0.21450E+01  0.2538  5.3318  0.2022 
  58 137 Ce  0.0  7.481   0.50000E-01   0.20000E-01   0.40000E-01  0.7235  8.3746  0.4597 
  58 141 Ce  0.0  5.428   0.31000E+01   0.50000E+00  -0.17470E+01  0.2572  5.5163  0.2100 
  58 142 Ce  3.5  7.169   0.65000E-01   0.20000E-01  -0.10350E+01  0.5455  6.9963  0.3858 
