# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  16  35 S   .0   6.985    .11000E+03    .40000E+02    .53400E+00   .2985  3.1435   .1973  3.0370  5.0400  10    2.709   2.028   3.021    .468    .557
  17  36 Cl 1.5   8.579    .23000E+02    .60000E+01   -.48400E+00   .1489  2.5185   .1109  2.6050  4.8200  30    2.630   2.000   2.538    .221   -.132
  17  38 Cl 1.5   6.107    .15000E+02    .40000E+01    .19140E+01   .2074  3.4760   .1542  3.3650  5.7000  30    2.730   1.947   5.435    .724   -.282
  18  41 Ar  .0   6.098    .52000E+02    .47000E+01    .40960E+01   .0723  4.3087   .0651  4.3030  6.7100  26    1.335   1.874   3.068    .412    .344
  19  40 K  1.5   7.799    .13000E+02    .30000E+01    .12730E+01   .1520  3.1198   .1180  2.9920  6.2000  30    2.406   1.897   2.755    .288    .344
  19  42 K  1.5   7.533    .10000E+02    .30000E+01    .32240E+01   .2263  3.4793   .1618  3.6220  6.3400  30    1.367   1.852   2.015    .153    .206
  20  41 Ca  .0   8.362    .45000E+02    .40000E+01    .10270E+01   .0595  3.4772   .0533  3.4960  5.8500  30    2.438   1.874   3.929    .172    .947
  20  43 Ca  .0   7.932    .20000E+02    .50000E+01    .30350E+01   .2055  4.3250   .1571  4.3160  6.6300  30    1.341   1.830   2.998    .224    .929
  20  44 Ca 3.5  11.132    .18000E+01    .30000E+00    .31340E+01   .1299  4.4554   .1078  4.3610  6.8100  30    1.157   1.809   3.156    .121    .848
  20  45 Ca  .0   7.415    .24100E+02    .32000E+01    .29300E+01   .1032  4.4079   .0886  4.5080  6.9200  30    1.252   1.789   3.206    .151    .589
  21  46 Sc 3.5   8.761    .13000E+01    .10000E+00    .24170E+01   .0531  4.2258   .0486  4.2280  6.8600  30    1.118   1.769   3.312    .055    .120
  22  47 Ti  .0   8.878    .25000E+02    .40000E+01    .17320E+01   .1150  3.8479   .0959  4.2160  6.6300  30     .936   1.750   2.680    .093    .147
  22  48 Ti 2.5  11.626    .17500E+01    .25000E+00    .16040E+01   .1031  4.2688   .0879  4.2320  6.8600  30     .983   1.732   3.207    .085    .637
  22  49 Ti  .0   8.142    .20800E+02    .25000E+01    .11220E+01   .0888  4.2096   .0771  4.2070  7.0300  30    1.268   1.714   3.621    .180    .292
  22  50 Ti 3.5  10.939    .40000E+01    .80000E+00    .35800E+00   .1481  3.8036   .1181  4.0170  6.6200  30    1.554   1.697   3.500    .193    .432
