# Experimental deformations
#  Z   A El   beta2    Error
#                         
#---------------------------
  54 124 Xe   0.2120  0.0070
  54 126 Xe   0.1881  0.0031
  54 128 Xe   0.1836  0.0049
  54 130 Xe   0.1690  0.0070
  54 132 Xe   0.1409  0.0046
  54 134 Xe   0.1190  0.0110
  54 136 Xe   0.1220  0.0100
  54 140 Xe   0.1137  0.0025
  56 122 Ba   0.3540  0.0180
  56 124 Ba   0.3020  0.0070
  56 126 Ba   0.2730  0.0070
  56 128 Ba   0.2490  0.0060
  56 130 Ba   0.2183  0.0015
  56 132 Ba   0.1860  0.0060
  56 134 Ba   0.1609  0.0009
  56 136 Ba   0.1258  0.0012
  56 138 Ba   0.0933  0.0018
  56 140 Ba   0.1260  0.0280
  56 142 Ba   0.1595  0.0042
  56 144 Ba   0.1940  0.0060
  56 146 Ba   0.2180  0.0039
  58 124 Ce   0.3850  0.0480
  58 126 Ce   0.3250  0.0290
  58 128 Ce   0.2980  0.0140
  58 130 Ce   0.2580  0.0070
  58 132 Ce   0.2640  0.0120
  58 134 Ce   0.1950  0.0080
  58 136 Ce   0.1700  0.0090
  58 138 Ce   0.1259  0.0042
  58 140 Ce   0.1015  0.0010
  58 142 Ce   0.1277  0.0008
  58 144 Ce   0.1660  0.0090
  58 146 Ce   0.1930  0.0100
  58 148 Ce   0.2510  0.0120
  58 150 Ce   0.3200  0.0390
  60 130 Nd   0.3700  0.0900
  60 132 Nd   0.3490  0.0300
  60 134 Nd   0.2490  0.0250
  60 142 Nd   0.0917  0.0010
  60 144 Nd   0.1237  0.0006
  60 146 Nd   0.1524  0.0025
  60 148 Nd   0.2013  0.0037
  60 150 Nd   0.2853  0.0021
  60 152 Nd   0.3490  0.0120
  62 134 Sm   0.3660  0.0260
  62 136 Sm   0.2930  0.0150
  62 138 Sm   0.2080  0.0170
  62 144 Sm   0.0874  0.0010
  62 148 Sm   0.1423  0.0030
  62 150 Sm   0.1931  0.0021
  62 152 Sm   0.3064  0.0027
  62 154 Sm   0.3410  0.0020
  64 152 Gd   0.2060  0.0090
  64 154 Gd   0.3120  0.0028
  64 156 Gd   0.3378  0.0018
  64 158 Gd   0.3484  0.0017
  64 160 Gd   0.3534  0.0020
  66 152 Dy   0.0970  0.0280
  66 154 Dy   0.2370  0.0060
  66 156 Dy   0.2929  0.0016
  66 158 Dy   0.3255  0.0017
  66 160 Dy   0.3387  0.0036
  66 162 Dy   0.3430  0.0035
  66 164 Dy   0.3481  0.0016
  68 156 Er   0.1890  0.0040
  68 158 Er   0.2550  0.0100
  68 160 Er   0.3040  0.0070
  68 162 Er   0.3222  0.0019
  68 164 Er   0.3333  0.0018
  68 166 Er   0.3420  0.0015
  68 168 Er   0.3381  0.0029
  68 170 Er   0.3363  0.0029
  70 158 Yb   0.1940  0.0120
  70 160 Yb   0.2300  0.0070
  70 162 Yb   0.2630  0.0060
  70 164 Yb   0.2900  0.0090
  70 166 Yb   0.3150  0.0090
  70 168 Yb   0.3220  0.0090
  70 170 Yb   0.3258  0.0037
  70 172 Yb   0.3302  0.0019
  70 174 Yb   0.3249  0.0016
  70 176 Yb   0.3050  0.0050
  72 162 Hf   0.1580  0.0070
  72 164 Hf   0.1970  0.0080
  72 166 Hf   0.2500  0.0070
  72 168 Hf   0.2750  0.0070
  72 170 Hf   0.3010  0.0350
  72 172 Hf   0.2760  0.0100
  72 174 Hf   0.2860  0.0090
  72 176 Hf   0.2953  0.0028
  72 178 Hf   0.2803  0.0017
  72 180 Hf   0.2738  0.0035
  74 168 W    0.2320  0.0060
  74 170 W    0.2400  0.0034
  74 172 W    0.2840  0.0140
  74 174 W    0.2510  0.0090
  74 180 W    0.2540  0.0070
