  86 216 101   -1674.499
     0.037     0.000    -0.011     0.000
     0.076     0.000     0.002     0.575
     0.113     0.000     0.043     1.770
     0.148     0.000     0.067     3.373
     0.181     0.000     0.081     5.351
     0.214     0.000     0.099     7.085
     0.248     0.000     0.113     8.809
     0.284     0.000     0.130    10.013
     0.322     0.000     0.159    10.504
     0.362     0.000     0.155    10.690
     0.403     0.000     0.136    10.465
     0.471     0.000     0.146     9.350
     0.521     0.000     0.151     7.910
     0.564     0.000     0.172     7.185
     0.605     0.000     0.226     6.980
     0.645     0.000     0.254     7.117
     0.684     0.000     0.319     7.427
     0.717     0.000     0.377     8.001
     0.755     0.000     0.431     8.602
     0.792     0.000     0.521     9.300
     0.831     0.000     0.620     9.869
     0.868     0.000     0.718    10.372
     0.903     0.000     0.777    10.937
     0.933     0.000     0.861    11.552
     0.979    -0.154     0.903    12.583
     1.009    -0.312     0.941    13.054
     1.035    -0.334     0.969    13.394
     1.067    -0.354     1.007    13.695
     1.097    -0.372     1.046    13.903
     1.132    -0.393     1.092    14.121
     1.168    -0.414     1.141    14.275
     1.203    -0.441     1.192    14.324
     1.235    -0.455     1.225    14.597
     1.271    -0.483     1.277    14.573
     1.309    -0.647     1.436    14.596
     1.347    -0.656     1.477    14.585
     1.385    -0.676     1.545    14.729
     1.424    -0.680     1.620    14.814
     1.464    -0.677     1.702    14.882
     1.503    -0.687     1.796    15.092
     1.544    -0.696     1.877    15.192
     1.584    -0.711     1.962    15.502
     1.624    -0.724     2.050    15.739
     1.665    -0.734     2.141    15.976
     1.705    -0.744     2.230    16.207
     1.745    -0.589     2.315    16.429
     1.784    -0.259     2.523    16.236
     1.823     0.000     2.654    15.813
     1.858     0.000     2.764    15.852
     1.893     0.000     2.875    15.905
     1.930     0.000     2.891    15.747
     1.966     0.000     3.011    15.672
     2.004     0.000     3.207    15.545
     2.041     0.000     3.334    15.471
     2.079     0.000     3.543    15.340
     2.119     0.000     3.618    15.364
     2.159     0.000     3.845    15.286
     2.198     0.000     3.995    15.180
     2.237     0.000     4.111    15.124
     2.271     0.000     4.228    15.243
     2.310     0.000     4.364    15.116
     2.343     0.000     4.483    15.125
     2.376     0.000     4.605    15.129
     2.407     0.000     4.720    15.082
     2.435     0.001     4.826    15.196
     2.473     0.000     4.933    15.237
     2.504     0.000     5.051    15.274
     2.534     0.000     5.165    15.312
     2.572     0.000     5.177    15.419
     2.604     0.000     5.297    15.469
     2.637     0.000     5.428    15.484
     2.668     0.000     5.549    15.419
     2.705    -0.119     5.760    15.390
     2.732    -0.117     5.856    15.390
     2.766    -0.115     5.977    15.372
     2.798    -0.123     6.089    15.390
     2.830    -0.114     6.203    15.342
     2.864    -0.145     6.323    15.529
     2.901    -0.117     6.457    15.420
     2.935    -0.115     6.581    15.392
     2.968    -0.121     6.702    15.447
     2.994     0.000     6.722    15.636
     3.023     0.000     6.837    15.527
     3.067     0.000     6.946    15.534
     3.104     0.000     7.091    15.416
     3.140     0.000     7.235    15.325
     3.183     0.000     7.081    15.281
     3.222     0.000     7.478    15.219
     3.259     0.000     7.632    15.121
     3.292     0.000     7.531    14.859
     3.324     0.000     7.668    14.742
     3.354     0.000     7.798    14.740
     3.386     0.000     8.189    14.697
     3.433     0.000     8.441    14.679
     3.470     0.000     8.601    14.626
     3.501     0.000     8.835    14.615
     3.532     0.000     8.983    14.508
     3.561     0.000     9.122    14.481
     3.601     0.000     9.229    14.412
     3.634     0.000     9.386    14.427
    10.009     9.999     9.999     0.000
