# 14      n +  92-U -238      Elastic* and Nonelast* modified for A>220 and En>3.5 MeV (Cross sections of 2 CC added/substracted to Elastic/Nonelast respectively)
#   Einc      Total       Elastic*     CN-el     Nonelast*    CN-form     Direct    Coup-Chan   Pre-equil    DWBA-disc  DWBA-cont      MSD          MSC       PCROSS       HMS        CC(2 lev) 
.45000E-01  1.31107E+04 1.27276E+04 2.91587E+03 3.83028E+02 3.29889E+03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
.50000E-01  1.28943E+04 1.24689E+04 2.76817E+03 4.25445E+02 3.19362E+03 1.31631E+00 0.00000E+00 1.31631E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.31631E+00
.60000E-01  1.26204E+04 1.21338E+04 2.64272E+03 4.86600E+02 3.12932E+03 4.74514E+00 0.00000E+00 4.74514E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.74514E+00
.70000E-01  1.23798E+04 1.18539E+04 2.55900E+03 5.25942E+02 3.08494E+03 9.75949E+00 0.00000E+00 9.75949E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 9.75949E+00
.80000E-01  1.21659E+04 1.16062E+04 2.49625E+03 5.59700E+02 3.05595E+03 1.58805E+01 0.00000E+00 1.58805E+01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.58805E+01
.90000E-01  1.19717E+04 1.13821E+04 2.44740E+03 5.89579E+02 3.03698E+03 2.28374E+01 0.00000E+00 2.28374E+01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.28374E+01
.10000      1.17928E+04 1.11763E+04 2.40833E+03 6.16522E+02 3.02486E+03 3.04089E+01 0.00000E+00 3.04089E+01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.04089E+01
.14000      1.11876E+04 1.04253E+04 2.25498E+03 7.62293E+02 3.01727E+03 6.39826E+01 1.69905E-03 6.39826E+01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.69905E-03 0.00000E+00 6.39826E+01
.20000      1.04700E+04 9.54194E+03 2.11672E+03 9.28087E+02 3.04463E+03 1.14218E+02 1.81888E-03 1.14218E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.81888E-03 0.00000E+00 1.14047E+02
.24000      1.00715E+04 9.05194E+03 2.04912E+03 1.01957E+03 3.06808E+03 1.44851E+02 1.90084E-03 1.44851E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.90084E-03 0.00000E+00 1.44238E+02
.30000      9.55915E+03 8.41978E+03 1.96495E+03 1.13937E+03 3.10217E+03 1.85016E+02 2.03693E-03 1.85016E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.03693E-03 0.00000E+00 1.82874E+02
.34000      9.26377E+03 8.05186E+03 1.91426E+03 1.21191E+03 3.12273E+03 2.07883E+02 2.12514E-03 2.07883E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.12514E-03 0.00000E+00 2.04441E+02
.40000      8.87484E+03 7.56283E+03 1.83935E+03 1.31201E+03 3.14379E+03 2.39115E+02 2.25645E-03 2.39115E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.25645E-03 0.00000E+00 2.31550E+02
.44000      8.65075E+03 7.27319E+03 1.78967E+03 1.37756E+03 3.15634E+03 2.57538E+02 2.35574E-03 2.57538E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.35574E-03 0.00000E+00 2.46643E+02
.50000      8.43789E+03 6.95095E+03 1.73099E+03 1.48694E+03 3.20126E+03 2.87229E+02 2.51771E-03 2.87229E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.51771E-03 0.00000E+00 2.70558E+02
.54000      8.26806E+03 6.71575E+03 1.68291E+03 1.55231E+03 3.21252E+03 3.03492E+02 2.62557E-03 3.03492E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.62557E-03 0.00000E+00 2.80792E+02
.60000      8.03207E+03 6.39533E+03 1.60306E+03 1.63674E+03 3.20867E+03 3.25831E+02 2.76111E-03 3.25831E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.76111E-03 0.00000E+00 2.94701E+02
.64000      7.89455E+03 6.20582E+03 1.55114E+03 1.68874E+03 3.20263E+03 3.39979E+02 2.85146E-03 3.39979E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.85146E-03 0.00000E+00 3.02731E+02
.68000      7.77093E+03 6.03378E+03 1.49982E+03 1.73716E+03 3.19344E+03 3.53645E+02 2.95226E-03 3.53645E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.95226E-03 0.00000E+00 3.10109E+02
.70000      7.70940E+03 5.91312E+03 1.43600E+03 1.79627E+03 3.18197E+03 3.63644E+02 2.99167E-03 3.63644E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.99167E-03 0.00000E+00 3.13350E+02
.74000      7.59880E+03 5.69724E+03 1.32442E+03 1.90156E+03 3.16501E+03 3.80180E+02 3.07729E-03 3.80180E+02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.07729E-03 0.00000E+00 3.19202E+02
.80000      7.44936E+03 5.42604E+03 1.19360E+03 2.02332E+03 3.14164E+03 4.01644E+02 3.22289E-03 4.01644E+02 2.40140E-13 0.00000E+00 0.00000E+00 0.00000E+00 3.22289E-03 0.00000E+00 3.26371E+02
.82000      7.40729E+03 5.34706E+03 1.15567E+03 2.06023E+03 3.13619E+03 4.08161E+02 3.27100E-03 4.08161E+02 1.43684E-12 0.00000E+00 0.00000E+00 0.00000E+00 3.27100E-03 0.00000E+00 3.28447E+02
.84000      7.36668E+03 5.27297E+03 1.12045E+03 2.09371E+03 3.13028E+03 4.14350E+02 3.31918E-03 4.14350E+02 5.95453E-12 0.00000E+00 0.00000E+00 0.00000E+00 3.31918E-03 0.00000E+00 3.30472E+02
.86000      7.32819E+03 5.20310E+03 1.08745E+03 2.12508E+03 3.12466E+03 4.20237E+02 3.36821E-03 4.20237E+02 2.03218E-11 0.00000E+00 0.00000E+00 0.00000E+00 3.36821E-03 0.00000E+00 3.32366E+02
.90000      7.25738E+03 5.07370E+03 1.02593E+03 2.18368E+03 3.11404E+03 4.31381E+02 3.46859E-03 4.31381E+02 1.52414E-10 0.00000E+00 0.00000E+00 0.00000E+00 3.46859E-03 0.00000E+00 3.35825E+02
.92000      7.22498E+03 5.01474E+03 9.98119E+02 2.21025E+03 3.10937E+03 4.36402E+02 3.53308E-03 4.36402E+02 3.51774E-10 0.00000E+00 0.00000E+00 0.00000E+00 3.53308E-03 0.00000E+00 3.37408E+02
.94000      7.19458E+03 4.95048E+03 9.63285E+02 2.24410E+03 3.10467E+03 4.41614E+02 3.58561E-03 4.41439E+02 1.74716E-01 0.00000E+00 0.00000E+00 0.00000E+00 3.58561E-03 0.00000E+00 3.38900E+02
.96000      7.15888E+03 4.86863E+03 9.13153E+02 2.29026E+03 3.09715E+03 4.46231E+02 3.63542E-03 4.45850E+02 3.80597E-01 0.00000E+00 0.00000E+00 0.00000E+00 3.63542E-03 0.00000E+00 3.39968E+02
1.0000      7.10766E+03 4.71730E+03 8.12409E+02 2.39036E+03 3.08973E+03 4.55586E+02 3.74580E-03 4.54920E+02 6.65600E-01 0.00000E+00 0.00000E+00 0.00000E+00 3.74580E-03 0.00000E+00 3.42559E+02
1.0200      7.08484E+03 4.64735E+03 7.65489E+02 2.43748E+03 3.08628E+03 4.60422E+02 3.80228E-03 4.59155E+02 1.26743E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.80228E-03 0.00000E+00 3.43735E+02
1.0400      7.05684E+03 4.57972E+03 7.23332E+02 2.47712E+03 3.08042E+03 4.64515E+02 3.85642E-03 4.62869E+02 1.64557E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.85642E-03 0.00000E+00 3.44493E+02
1.0600      7.03739E+03 4.51784E+03 6.81602E+02 2.51954E+03 3.07766E+03 4.68995E+02 3.92900E-03 4.66999E+02 1.99586E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.92900E-03 0.00000E+00 3.45514E+02
1.1000      6.99785E+03 4.28979E+03 4.93223E+02 2.70806E+03 3.06568E+03 4.82513E+02 4.04040E-03 4.75078E+02 7.43506E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.04040E-03 0.00000E+00 3.46914E+02
1.1200      6.98440E+03 4.24704E+03 4.66197E+02 2.73736E+03 3.05960E+03 4.91625E+02 4.09687E-03 4.79427E+02 1.21980E+01 0.00000E+00 0.00000E+00 0.00000E+00 4.09687E-03 0.00000E+00 3.47673E+02
1.1400      6.97234E+03 4.20674E+03 4.40330E+02 2.76560E+03 3.05261E+03 5.01673E+02 4.33224E-03 4.83708E+02 1.79654E+01 0.00000E+00 0.00000E+00 0.00000E+00 4.33224E-03 0.00000E+00 3.48358E+02
1.1600      6.96189E+03 4.16607E+03 4.12788E+02 2.79582E+03 3.04262E+03 5.15037E+02 4.38690E-03 4.88040E+02 2.69971E+01 0.00000E+00 0.00000E+00 0.00000E+00 4.38690E-03 0.00000E+00 3.49059E+02
1.2000      6.93902E+03 4.08997E+03 3.62835E+02 2.84904E+03 3.01103E+03 5.50925E+02 4.49392E-03 4.95945E+02 5.49805E+01 0.00000E+00 0.00000E+00 0.00000E+00 4.49392E-03 0.00000E+00 3.50080E+02
1.2400      6.91920E+03 4.02422E+03 3.19604E+02 2.89498E+03 2.96980E+03 5.95798E+02 4.67271E-03 5.03332E+02 9.24664E+01 0.00000E+00 0.00000E+00 0.00000E+00 4.67271E-03 0.00000E+00 3.51025E+02
1.3000      6.89595E+03 3.93728E+03 2.60315E+02 2.95867E+03 2.88391E+03 6.87488E+02 4.75228E-03 5.13131E+02 1.74356E+02 0.00000E+00 0.00000E+00 0.00000E+00 4.75228E-03 0.00000E+00 3.52418E+02
1.3400      6.89515E+03 3.89370E+03 2.25689E+02 3.00145E+03 2.81606E+03 7.64971E+02 4.78483E-03 5.19734E+02 2.45238E+02 0.00000E+00 0.00000E+00 0.00000E+00 4.78483E-03 0.00000E+00 3.53900E+02
1.4000      6.90825E+03 3.84490E+03 1.80499E+02 3.06336E+03 2.71359E+03 8.86852E+02 4.84040E-03 5.29334E+02 3.57307E+02 2.11692E-01 0.00000E+00 0.00000E+00 4.84040E-03 0.00000E+00 3.56592E+02
