  90 221  98   -1693.805
     0.136     0.000     0.084     0.000
     0.161     0.000     0.108     0.452
     0.188     0.000     0.121     0.920
     0.214     0.000     0.140     1.411
     0.240     0.000     0.155     2.335
     0.268     0.000     0.174     3.094
     0.297     0.000     0.191     3.833
     0.326     0.000     0.191     4.366
     0.355     0.000     0.203     4.818
     0.385     0.000     0.177     4.832
     0.436     0.000     0.127     4.419
     0.477     0.000     0.137     3.536
     0.514     0.000     0.130     2.952
     0.548     0.000     0.153     2.419
     0.578     0.000     0.200     2.339
     0.608     0.000     0.229     2.264
     0.639     0.000     0.250     2.306
     0.669     0.000     0.290     2.417
     0.699     0.000     0.322     2.717
     0.728     0.000     0.378     3.106
     0.756     0.000     0.393     3.624
     0.786     0.000     0.492     4.075
     0.815     0.000     0.580     4.466
     0.845     0.000     0.629     4.534
     0.875     0.000     0.704     4.706
     0.906     0.000     0.748     4.888
     0.935     0.000     0.798     5.089
     0.964     0.000     0.873     5.510
     0.993     0.000     0.921     6.009
     1.022     0.000     0.960     6.366
     1.072    -0.185     0.996     7.031
     1.106    -0.351     1.046     7.183
     1.135    -0.367     1.076     7.293
     1.166    -0.390     1.116     7.089
     1.194    -0.407     1.146     7.261
     1.222    -0.424     1.177     7.300
     1.251    -0.438     1.218     7.326
     1.280    -0.450     1.263     7.456
     1.310    -0.460     1.307     7.622
     1.344    -0.610     1.513     7.253
     1.374    -0.630     1.554     7.243
     1.406    -0.645     1.607     7.142
     1.437    -0.662     1.672     7.028
     1.468    -0.678     1.735     7.003
     1.501    -0.686     1.793     7.076
     1.533    -0.698     1.874     6.980
     1.565    -0.708     1.927     6.891
     1.605    -0.724     1.991     6.951
     1.636    -0.734     2.045     6.860
     1.670    -0.746     2.106     6.854
     1.700    -0.756     2.172     6.857
     1.729    -0.770     2.243     6.954
     1.759    -0.778     2.319     6.969
     1.789    -0.784     2.395     7.054
     1.820    -0.795     2.474     7.023
     1.850    -0.803     2.547     7.077
     1.878    -0.819     2.613     7.187
     1.911    -0.831     2.688     7.299
     1.944    -0.665     2.803     7.566
     1.975    -0.288     3.140     7.171
     2.007    -0.287     3.242     6.315
     2.037    -0.285     3.334     6.252
     2.067    -0.303     3.441     6.203
     2.097    -0.308     3.538     5.929
     2.125    -0.313     3.629     5.776
     2.155    -0.316     3.725     5.432
     2.185    -0.326     3.809     5.253
     2.215    -0.335     3.890     5.187
     2.247    -0.342     3.984     5.014
     2.277    -0.351     4.070     4.982
     2.306    -0.357     4.155     4.892
     2.332    -0.365     4.226     4.947
     2.360    -0.369     4.314     4.809
     2.384    -0.375     4.382     4.775
     2.408    -0.385     4.450     4.840
     2.430    -0.391     4.516     4.825
     2.450    -0.395     4.580     4.741
     2.476    -0.403     4.660     4.710
     2.501    -0.409     4.735     4.708
     2.529    -0.415     4.829     4.607
     2.556    -0.418     4.916     4.638
     2.581    -0.420     4.998     4.835
     2.609    -0.409     5.117     4.877
     2.635    -0.395     5.244     4.993
     2.663    -0.379     5.374     5.060
     2.690    -0.359     5.508     5.043
     2.717    -0.337     5.644     4.998
     2.750     0.000     5.976     5.032
     2.778     0.000     6.090     4.923
     2.807     0.000     6.210     4.971
     2.831     0.001     6.309     4.874
     2.865     0.000     6.410     4.817
     2.893     0.000     6.518     4.754
     2.927     0.000     6.610     4.656
     2.950     0.000     6.827     4.535
     2.980     0.000     7.067     4.398
     3.006     0.000     7.174     4.347
    10.009     9.999     9.999     0.000
  90 222  98   -1701.018
     0.167     0.000     0.114     0.000
     0.193     0.000     0.131     0.545
     0.219     0.000     0.148     1.263
     0.246     0.000     0.166     2.074
     0.273     0.000     0.182     2.826
     0.302     0.000     0.185     3.544
     0.330     0.000     0.196     4.210
     0.360     0.000     0.180     4.500
     0.391     0.000     0.189     4.542
     0.426     0.000     0.149     4.286
     0.466     0.000     0.130     3.699
     0.503     0.000     0.121     3.012
     0.537     0.000     0.142     2.369
     0.568     0.000     0.155     2.032
     0.599     0.000     0.183     1.955
     0.630     0.000     0.245     1.956
     0.661     0.000     0.263     1.985
     0.690     0.000     0.294     2.259
     0.716     0.000     0.310     2.638
     0.744     0.000     0.374     3.104
     0.780     0.000     0.452     3.632
     0.821     0.000     0.580     4.066
     0.851     0.000     0.662     4.162
     0.883     0.000     0.709     4.372
     0.913     0.000     0.760     4.627
     0.943     0.000     0.806     5.021
     0.996    -0.162     0.855     6.148
     1.025    -0.174     0.882     6.461
     1.054    -0.325     0.974     6.649
     1.083    -0.337     1.001     6.595
     1.111    -0.355     1.032     6.728
     1.139    -0.369     1.072     6.786
     1.165    -0.385     1.113     6.977
     1.194    -0.401     1.158     6.998
     1.222    -0.418     1.204     7.089
     1.252    -0.438     1.255     7.095
     1.282    -0.456     1.306     7.161
     1.312    -0.480     1.364     7.145
     1.343    -0.504     1.425     7.098
     1.374    -0.644     1.539     6.889
     1.405    -0.654     1.591     6.811
     1.436    -0.665     1.652     6.733
     1.467    -0.679     1.714     6.781
     1.499    -0.683     1.784     6.617
     1.530    -0.695     1.850     6.572
     1.561    -0.708     1.916     6.508
     1.593    -0.715     1.985     6.376
     1.623    -0.727     2.045     6.363
     1.653    -0.739     2.107     6.396
     1.684    -0.749     2.172     6.324
     1.714    -0.763     2.235     6.397
     1.744    -0.771     2.301     6.418
     1.772    -0.786     2.363     6.567
     1.801    -0.796     2.432     6.584
     1.830    -0.807     2.503     6.664
     1.859    -0.815     2.573     6.738
     1.887    -0.824     2.650     6.890
     1.916    -0.826     2.727     6.911
     1.944    -0.830     2.808     7.026
     1.972    -0.834     2.889     7.108
     1.999    -0.837     2.973     7.307
     2.028    -0.732     2.961     7.580
     2.065    -0.299     3.417     6.147
     2.095    -0.305     3.510     5.904
     2.125    -0.314     3.596     5.797
     2.158    -0.319     3.705     5.467
     2.190    -0.324     3.802     5.301
     2.217    -0.329     3.885     5.204
     2.247    -0.334     3.979     5.140
     2.275    -0.339     4.069     4.994
     2.304    -0.344     4.161     4.796
     2.330    -0.351     4.238     4.855
     2.359    -0.361     4.321     4.783
     2.388    -0.371     4.403     4.709
     2.414    -0.380     4.479     4.674
     2.439    -0.390     4.549     4.702
     2.466    -0.519     4.645     4.899
     2.493    -0.509     4.718     4.644
     2.519    -0.520     4.793     4.639
     2.545    -0.532     4.869     4.693
     2.570    -0.544     4.942     4.705
     2.596    -0.557     5.019     4.734
     2.622    -0.566     5.101     4.677
     2.647    -0.574     5.183     4.730
     2.676    -0.583     5.279     4.827
     2.700    -0.379     5.541     5.023
     2.734     0.000     5.940     5.038
     2.761    -0.001     6.045     4.880
     2.787     0.002     6.148     4.814
     2.816    -0.238     6.154     4.830
     2.845    -0.189     6.320     4.488
     2.876    -0.148     6.496     4.250
     2.900    -0.127     6.633     4.095
     2.929    -0.120     6.758     4.007
     2.958    -0.118     6.870     3.946
     2.989    -0.118     6.985     3.797
     3.016    -0.118     7.090     3.750
    10.009     9.999     9.999     0.000
  90 223 100   -1707.245
     0.178     0.000     0.121     0.000
     0.207     0.000     0.143     0.345
     0.235     0.000     0.163     0.924
     0.264     0.000     0.175     1.670
